time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.490658503988659095e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-1.068786696025038356e-06,-4.275007807130160281e-04,3.491728084947709476e-02,4.278470762641476376e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-4.275086102680371310e-06,-8.550485320091964249e-04,3.494937339855099662e-02,8.559132170270315754e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,-9.619784784240252069e-06,-1.282903950405359182e-03,3.500288018686380231e-02,1.284460314301002354e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-1.710507309370339188e-05,-1.711327880180994829e-03,3.507783181470577882e-02,1.713750523784845006e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-2.673444629119258532e-05,-2.140581465216293781e-03,3.517427200003534621e-02,2.144046422853771935e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,-3.851270642163802339e-05,-2.570926300875708316e-03,3.529225760351669544e-02,2.575611168750890911e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,-5.244596495209299887e-05,-3.002624585985323811e-03,3.543185866147368496e-02,3.008708657062162881e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-6.854164616927002098e-05,-3.435939274951470713e-03,3.559315842677632236e-02,3.443603680556723418e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,-8.680849133811990219e-05,-3.871134230066935588e-03,3.577625341768004424e-02,3.880562088474277110e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-1.072565636225051173e-04,-4.308474374049834146e-03,3.598125347464229545e-02,4.319850946341069475e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000028e-02,-1.298972537692401797e-04,-4.748225842858680434e-03,3.620828182514478771e-02,4.761738696395700909e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,-1.547432865569852724e-04,-5.190656138825412193e-03,3.645747515655398119e-02,5.206495318705757491e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-02,-1.818087280116832097e-04,-5.636034284146097112e-03,3.672898369705635685e-02,5.654392493055927782e-02,0.000000000000000000e+00,0.000000000000000000e+00
