time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,0.000000000000000000e+00,5.136407136141657226e+00,0.000000000000000000e+00
5.000000000000000104e-03,7.354113861052313068e-05,2.923543403388483009e-02,1.744306600191981860e-01,-4.055132960929879599e-02,4.963410038384111544e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.905698040543509483e-04,5.740006963622379388e-02,1.741308908158638313e-01,-7.901505718062666606e-02,4.794733142736703257e+00,0.000000000000000000e+00
1.499999999999999944e-02,6.458070837421115307e-04,8.452378107137892282e-02,1.736438565690464342e-01,-1.154702683384028206e-01,4.630265883544744554e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.134121113920121687e-03,1.106355216093226346e-01,1.729794085935340842e-01,-1.499929699773595304e-01,4.469902868702663845e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.750522592271427664e-03,1.357633700758683892e-01,1.721470255409973116e-01,-1.826562456763834441e-01,4.313543488869894915e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.490160516109483652e-03,1.599345745456980938e-01,1.711558276450463878e-01,-2.135304029498039380e-01,4.161091547024492243e+00,0.000000000000000000e+00
3.500000000000000333e-02,3.348318131997360392e-03,1.831755932306183277e-01,1.700145902503132911e-01,-2.426831124049103339e-01,4.012454909248243773e+00,0.000000000000000000e+00
4.000000000000000083e-02,4.320409082954628291e-03,2.055121326411821214e-01,1.687317566656851564e-01,-2.701795389541276626e-01,3.867545177203283835e+00,0.000000000000000000e+00
4.499999999999999833e-02,5.401973739855862357e-03,2.269691831193225706e-01,1.673154503809131111e-01,-2.960824652920801547e-01,3.726277382408878847e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.588675704150847440e-03,2.475710518540266691e-01,1.657734866846455879e-01,-3.204524078947769139e-01,3.588569702144528417e+00,0.000000000000000000e+00
5.500000000000000028e-02,7.876298469623670140e-03,2.673413935022284638e-01,1.641133837205579482e-01,-3.433477258329265536e-01,3.454343196580587527e+00,0.000000000000000000e+00
5.999999999999999778e-02,9.260742231536779959e-03,2.863032385437738192e-01,1.623423730167243839e-01,-3.648247227160718031e-01,3.323521566560758256e+00,0.000000000000000000e+00
6.500000000000000222e-02,1.073802083216099899e-02,3.044790195031347735e-01,1.604674095217505925e-01,-3.849377421006261457e-01,3.196030931324013835e+00,0.000000000000000000e+00
7.000000000000000666e-02,1.230425883236047242e-02,3.218905951720622549e-01,1.584951811794938492e-01,-4.037392567044930658e-01,3.071799625350238205e+00,0.000000000000000000e+00
7.499999999999999722e-02,1.395568869957232103e-02,3.385592729670002243e-01,1.564321180724713711e-01,-4.212799517750073219e-01,2.950758013438395277e+00,0.000000000000000000e+00
8.000000000000000167e-02,1.568864810318573028e-02,3.545058295532203529e-01,1.542844011623236145e-01,-4.376088029565093351e-01,2.832838323073703091e+00,0.000000000000000000e+00
8.500000000000000611e-02,1.749957730897781435e-02,3.697505298645778482e-01,1.520579706539762765e-01,-4.527731489998174097e-01,2.717974493107297551e+00,0.000000000000000000e+00
8.999999999999999667e-02,1.938501666489848146e-02,3.843131446438025622e-01,1.497585340084498784e-01,-4.668187596489355995e-01,2.606102037754621126e+00,0.000000000000000000e+00
9.500000000000000111e-02,2.134160417110957803e-02,3.982129666235366683e-01,1.473915736276110999e-01,-4.797898990311351697e-01,2.497157924914812366e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.336607312777176301e-02,4.114688254630971542e-01,1.449623542325562120e-01,-4.917293848655853727e-01,2.391080467820115629e+00,0.000000000000000000e+00
1.049999999999999961e-01,2.545524985463354720e-02,4.240991015503271511e-01,1.424759299557712688e-01,-5.026786437934142038e-01,2.287809229039908132e+00,0.000000000000000000e+00
1.100000000000000006e-01,2.760605147700915390e-02,4.361217387720305871e-01,1.399371511657322986e-01,-5.126777631188035311e-01,2.187284935886668169e+00,0.000000000000000000e+00
1.150000000000000050e-01,2.981548377323435875e-02,4.475542563504669724e-01,1.373506710411950826e-01,-5.217655392367691602e-01,2.089449406299634493e+00,0.000000000000000000e+00
1.199999999999999956e-01,3.208063907916160890e-02,4.584137598373018152e-01,1.347209519110821874e-01,-5.299795230088869546e-01,1.994245484314860484e+00,0.000000000000000000e+00
1.250000000000000000e-01,3.439869424569753226e-02,4.687169513503370855e-01,1.320522713746044852e-01,-5.373560623336136599e-01,1.901616984266806476e+00,0.000000000000000000e+00
1.300000000000000044e-01,3.676690864579755524e-02,4.784801391323434405e-01,1.293487282150583284e-01,-5.439303421431864738e-01,1.811508642905633071e+00,0.000000000000000000e+00
