time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.726646259971647390e-02,0.000000000000000000e+00,6.015572077412517871e+00,0.000000000000000000e+00
5.000000000000000104e-03,8.879613669732061272e-05,3.505242953454440480e-02,8.711091413125916783e-02,-6.129352689732121134e-02,5.569879881029805802e+00,0.000000000000000000e+00
1.000000000000000021e-02,3.459963250789322505e-04,6.738742879428336052e-02,8.666249603934281232e-02,-1.172042808954525256e-01,5.148111973987383294e+00,0.000000000000000000e+00
1.499999999999999944e-02,7.583941149335647440e-04,9.715602484990251697e-02,8.594729115545926557e-02,-1.680616671709300458e-01,4.749162110475409371e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.313519723375916430e-03,1.245019222585156266e-01,8.498977952940324487e-02,-2.141775635490059948e-01,4.371976639488252658e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.999604370207866844e-03,1.495618778485238720e-01,8.381292356988821746e-02,-2.558473074660754243e-01,4.015550817044161391e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.805546422449786866e-03,1.724660498218931748e-01,8.243824842100300199e-02,-2.933506150631075005e-01,3.678925441773242433e+00,0.000000000000000000e+00
3.500000000000000333e-02,3.720879223220437213e-03,1.933383226641637032e-01,8.088591790692782613e-02,-3.269524353680128836e-01,3.361183812190827069e+00,0.000000000000000000e+00
4.000000000000000083e-02,4.735740488263245375e-03,2.122966095940303222e-01,7.917480636013068951e-02,-3.569037434134247344e-01,3.061448993482983383e+00,0.000000000000000000e+00
4.499999999999999833e-02,5.840843162397297943e-03,2.294531343942281809e-01,7.732256662764241950e-02,-3.834422766368524860e-01,2.778881374711581920e+00,0.000000000000000000e+00
5.000000000000000278e-02,7.027447637450528160e-03,2.449146944803681503e-01,7.534569452763693886e-02,-4.067932191245296480e-01,2.512676493133732869e+00,0.000000000000000000e+00
5.500000000000000028e-02,8.287335242409354583e-03,2.587829070126451136e-01,7.325959000564506718e-02,-4.271698382679030015e-01,2.262063100144238170e+00,0.000000000000000000e+00
5.999999999999999778e-02,9.612782925317142624e-03,2.711544397587746791e-01,7.107861521717970255e-02,-4.447740782640898227e-01,2.026301442656255780e+00,0.000000000000000000e+00
6.500000000000000222e-02,1.099653905469252096e-02,2.821212282916951142e-01,6.881614974194989742e-02,-4.597971146561062872e-01,1.804681734117176362e+00,0.000000000000000000e+00
7.000000000000000666e-02,1.243180027580931095e-02,2.917706809650030264e-01,6.648464311458597564e-02,-4.724198738113887797e-01,1.596522790488849708e+00,0.000000000000000000e+00
7.499999999999999722e-02,1.391218936402817408e-02,3.001858729620525135e-01,6.409566483812471904e-02,-4.828135209054120192e-01,1.401170808152273572e+00,0.000000000000000000e+00
8.000000000000000167e-02,1.543173402348164275e-02,3.074457305678879315e-01,6.165995202953179072e-02,-4.911399196314103488e-01,1.217998262633734896e+00,0.000000000000000000e+00
8.500000000000000611e-02,1.698484658480290885e-02,3.136252066714817488e-01,5.918745483129882190e-02,-4.975520665122187824e-01,1.046402909145602855e+00,0.000000000000000000e+00
8.999999999999999667e-02,1.856630456028863715e-02,3.187954483723489663e-01,5.668737970961284373e-02,-5.021945023566627420e-01,8.858068680808894868e-01,0.000000000000000000e+00
9.500000000000000111e-02,2.017123201894423234e-02,3.230239574425710636e-01,5.416823074767990187e-02,-5.052037030879920065e-01,7.356557807158665696e-01,0.000000000000000000e+00
1.000000000000000056e-01,2.179508174733141290e-02,3.263747442837393598e-01,5.163784903238670398e-02,-5.067084518802338344e-01,5.954180224024163692e-01,0.000000000000000000e+00
1.049999999999999961e-01,2.343361816508159751e-02,3.289084759187936302e-01,4.910345022347985949e-02,-5.068301942726931575e-01,4.645839624322123385e-01,0.000000000000000000e+00
1.100000000000000006e-01,2.508290096641468958e-02,3.306826184711580408e-01,4.657166038669909025e-02,-5.056833776943195913e-01,3.426652615035932214e-01,0.000000000000000000e+00
1.150000000000000050e-01,2.673926946107008096e-02,3.317515745075673150e-01,4.404855016568146736e-02,-5.033757766183062365e-01,2.291941993055015558e-01,0.000000000000000000e+00
1.199999999999999956e-01,2.839932758977158078e-02,3.321668155558887281e-01,4.153966736182529429e-02,-5.000088043823097683e-01,1.237230261455302127e-01,0.000000000000000000e+00
1.250000000000000000e-01,3.005992959076299320e-02,3.319770100542672742e-01,3.905006798653529176e-02,-4.956778125497018905e-01,2.582333379244161620e-02,0.000000000000000000e+00
1.300000000000000044e-01,3.171816629511467478e-02,3.312281469421463620e-01,3.658434584624470354e-02,-4.904723785505432643e-01,-6.491455821731317855e-02,0.000000000000000000e+00
1.350000000000000089e-01,3.337135202945706869e-02,3.299636550661911860e-01,3.414666071721369350e-02,-4.844765822255201471e-01,-1.488822036351988842e-01,0.000000000000000000e+00
1.400000000000000133e-01,3.501701210558395144e-02,3.282245185439114921e-01,3.174076516423524064e-02,-4.777692717998085481e-01,-2.264536199640856395e-01,0.000000000000000000e+00
1.449999999999999900e-01,3.665287087701993296e-02,3.260493882039096625e-01,2.937003005494990063e-02,-4.704243197346097971e-01,-2.979858697263271239e-01,0.000000000000000000e+00
1.499999999999999944e-01,3.827684034319336209e-02,3.234746892032826504e-01,2.703746881939827346e-02,-4.625108688398479884e-01,-3.638196334025991519e-01,0.000000000000000000e+00
1.549999999999999989e-01,3.988700928232218751e-02,3.205347249089520734e-01,2.474576050265592936e-02,-4.540935689802485520e-01,-4.242797744822901507e-01,0.000000000000000000e+00
1.600000000000000033e-01,4.148163289452809488e-02,3.172617771198269487e-01,2.249727165683908237e-02,-4.452328046668555528e-01,-4.796758967331014034e-01,0.000000000000000000e+00
1.650000000000000078e-01,4.305912293706082999e-02,3.136862027000270614e-01,2.029407711738943909e-02,-4.359849137952707676e-01,-5.303028935445484038e-01,0.000000000000000000e+00
1.700000000000000122e-01,4.461803833385468571e-02,3.098365266893019498e-01,1.813797970730073039e-02,-4.264023977689446743e-01,-5.764414890153082283e-01,0.000000000000000000e+00
1.750000000000000167e-01,4.615707624196373204e-02,3.057395319547274171e-01,1.603052891180135192e-02,-4.165341232293132689e-01,-6.183587703275232883e-01,0.000000000000000000e+00
1.799999999999999933e-01,4.767506355774116938e-02,3.014203454472806909e-01,1.397303856492907066e-02,-4.064255156032102190e-01,-6.563087108722847063e-01,0.000000000000000000e+00
1.849999999999999978e-01,4.917094884594745002e-02,2.969025211275818643e-01,1.196660358840116734e-02,-3.961187446707074566e-01,-6.905326835509262295e-01,0.000000000000000000e+00
1.900000000000000022e-01,5.064379467529669943e-02,2.922081196266045344e-01,1.001211582217914620e-02,-3.856529023524053468e-01,-7.212599636687970772e-01,0.000000000000000000e+00
1.950000000000000067e-01,5.209277034428503456e-02,2.873577847092123605e-01,8.110278985137334834e-03,-3.750641729134089331e-01,-7.487082208549873386e-01,0.000000000000000000e+00
2.000000000000000111e-01,5.351714498148941318e-02,2.823708166107430362e-01,6.261622803259332855e-03,-3.643859957811121930e-01,-7.730839994771443457e-01,0.000000000000000000e+00
2.050000000000000155e-01,5.491628100488297332e-02,2.772652423193411320e-01,4.466516341798575790e-03,-3.536492211749076575e-01,-7.945831870701871580e-01,0.000000000000000000e+00
2.099999999999999922e-01,5.628962792508251933e-02,2.720578828791906378e-01,2.725180576844725422e-03,-3.428822587475894301e-01,-8.133914703569460336e-01,0.000000000000000000e+00
2.149999999999999967e-01,5.763671647782529078e-02,2.667644177921008053e-01,1.037700240733998398e-03,-3.321112194401504847e-01,-8.296847785041232548e-01,0.000000000000000000e+00
2.200000000000000011e-01,5.895715307136490529e-02,2.613994465969689540e-01,-5.959650252718563888e-04,-3.213600507536084616e-01,-8.436297133255474812e-01,0.000000000000000000e+00
2.250000000000000056e-01,6.025061453487829538e-02,2.559765477084209873e-01,-2.175970178635779941e-03,-3.106506656432014291e-01,-8.553839662140747535e-01,0.000000000000000000e+00
2.300000000000000100e-01,6.151684315438598477e-02,2.505083345973742603e-01,-3.702574912152885485e-03,-3.000030652416178500e-01,-8.650967216519140912e-01,0.000000000000000000e+00
2.350000000000000144e-01,6.275564198310445985e-02,2.450065093973573249e-01,-5.176134389178852976e-03,-2.894354556187477834e-01,-8.729090472150935476e-01,0.000000000000000000e+00
2.399999999999999911e-01,6.396687041357057568e-02,2.394819140211461861e-01,-6.597090548181208658e-03,-2.789643587856905360e-01,-8.789542700502148698e-01,0.000000000000000000e+00
2.449999999999999956e-01,6.515043999930186791e-02,2.339445788726412789e-01,-7.965963948353482066e-03,-2.686047181503927739e-01,-8.833583398597903980e-01,0.000000000000000000e+00
2.500000000000000000e-01,6.630631051418135746e-02,2.284037692389246921e-01,-9.283346129066885263e-03,-2.583699986312991137e-01,-8.862401784858060516e-01,0.000000000000000000e+00
2.550000000000000044e-01,6.743448623817946408e-02,2.228680294471201140e-01,-1.054989245696232036e-02,-2.482722816337906702e-01,-8.877120162294276362e-01,0.000000000000000000e+00
2.600000000000000089e-01,6.853501245844745293e-02,2.173452248700522837e-01,-1.176631543550410615e-02,-2.383223550919823519e-01,-8.878797150877710820e-01,0.000000000000000000e+00
2.650000000000000133e-01,6.960797217523442826e-02,2.118425818637924563e-01,-1.293337845282300710e-02,-2.285297987756891303e-01,-8.868430791265362600e-01,0.000000000000000000e+00
2.700000000000000178e-01,7.065348300249278679e-02,2.063667257190114346e-01,-1.405188994466721047e-02,-2.189030650590935712e-01,-8.846961522400085265e-01,0.000000000000000000e+00
2.750000000000000222e-01,7.167169425344299682e-02,2.009237167066680319e-01,-1.512269795025337690e-02,-2.094495553439069957e-01,-8.815275035778122881e-01,0.000000000000000000e+00
2.800000000000000266e-01,7.266278420176748576e-02,1.955190842969698195e-01,-1.614668503976364120e-02,-2.001756923256636511e-01,-8.774205009410063205e-01,0.000000000000000000e+00
2.850000000000000311e-01,7.362695750949363460e-02,1.901578596287796796e-01,-1.712476359316650668e-02,-1.910869882872789083e-01,-8.724535724690223315e-01,0.000000000000000000e+00
2.899999999999999800e-01,7.456444281300721177e-02,1.848446063047364252e-01,-1.805787141094830281e-02,-1.821881095991911559e-01,-8.667004569538299119e-01,0.000000000000000000e+00
