time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235987755982988989e-02,0.000000000000000000e+00,5.235987755982988989e-02,0.000000000000000000e+00,-4.259730773776087887e+00,0.000000000000000000e+00
2.500000000000000052e-03,-1.630078549482451199e-05,-1.275424315382503448e-02,5.243141199533786490e-02,5.608580504348990164e-02,5.235987460434212565e-02,-4.591957959925667992e-06,-3.710563406610698944e+00,0.000000000000000000e+00
5.000000000000000104e-03,-6.238754225646225067e-05,-2.384756343934266165e-02,5.263480184366917114e-02,1.055636020826195287e-01,5.235983223399379854e-02,-3.576038727427607351e-05,-3.197114968782072797e+00,0.000000000000000000e+00
7.499999999999999722e-03,-1.342463451022941553e-04,-3.338968242352690491e-02,5.295411035148178680e-02,1.488956011995763440e-01,5.235965351782286004e-02,-1.174237876667663823e-04,-2.717524568301637800e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.281302967482149759e-04,-4.148454221003985976e-02,5.337452374658462062e-02,1.865181680071884285e-01,5.235918521229770972e-02,-2.707402916416559746e-04,-2.270010610359480374e+00,0.000000000000000000e+00
1.250000000000000069e-02,-3.405453892968993905e-04,-4.823055337938501885e-02,5.388228806044204067e-02,2.188429707785674028e-01,5.235822445825370069e-02,-5.142723411550235817e-04,-1.852870071613901493e+00,0.000000000000000000e+00
1.499999999999999944e-02,-4.682369828547566955e-04,-5.372084026239368204e-02,5.446464881209042014e-02,2.462581196758706625e-01,5.235652505836823484e-02,-8.641563447941071497e-04,-1.464476952276553057e+00,0.000000000000000000e+00
1.750000000000000167e-02,-6.081768914658414529e-04,-5.804348121894480766e-02,5.510979351575609475e-02,2.691292847317389714e-01,5.235380333083466953e-02,-1.334271251819560151e-03,-1.103280235806744392e+00,0.000000000000000000e+00
2.000000000000000042e-02,-7.575510619710724503e-04,-6.128174252468138877e-02,5.580679694788075185e-02,2.878007843458286197e-01,5.234974354717470552e-02,-1.936402166691646208e-03,-7.678015757360935334e-01,0.000000000000000000e+00
2.249999999999999917e-02,-9.137478287355072122e-04,-6.351430508655024620e-02,5.654556909330320236e-02,3.025966395372766682e-01,5.234400296974160705e-02,-2.680396701108568158e-03,-4.566328507302176432e-01,0.000000000000000000e+00
2.500000000000000139e-02,-1.074346725772492564e-03,-6.481548360441383161e-02,5.731680568153264127e-02,3.138215914962948494e-01,5.233621650875652787e-02,-3.574312867080745807e-03,-1.684336744625538895e-01,0.000000000000000000e+00
2.750000000000000014e-02,-1.237107837166545382e-03,-6.525543803888521344e-02,5.811194121988827455e-02,3.217620814479401070e-01,5.232600102070421311e-02,-4.624558070217501919e-03,9.807109000637026508e-02,0.000000000000000000e+00
2.999999999999999889e-02,-1.399961666539047828e-03,-6.490037738511908461e-02,5.892310442902859435e-02,3.266871927349952465e-01,5.231295927035031074e-02,-5.836019258091043778e-03,3.440937856963328656e-01,0.000000000000000000e+00
3.250000000000000111e-02,-1.560999506401947916e-03,-6.381275582493305121e-02,5.974307598685954512e-02,3.288495555336817255e-01,5.229668357808944096e-02,-7.212184584787856984e-03,5.707863762599734159e-01,0.000000000000000000e+00
3.500000000000000333e-02,-1.718464288471516482e-03,-6.205146136118241951e-02,6.056524848820644263e-02,3.284862148723765030e-01,5.227675917319297288e-02,-8.755257123756236826e-03,7.792428173664905922e-01,0.000000000000000000e+00
3.749999999999999861e-02,-1.870741896287892846e-03,-5.967199704667292687e-02,6.138358852946322608e-02,3.258194627266572940e-01,5.225276727208304911e-02,-1.046626123801342248e-02,9.705013868639171815e-01,0.000000000000000000e+00
4.000000000000000083e-02,-2.016352921764746030e-03,-5.672665491706930380e-02,6.219260082939970929e-02,3.210576349809957653e-01,5.222428789920885439e-02,-1.234514223061923023e-02,1.145546977085423634e+00,0.000000000000000000e+00
4.250000000000000305e-02,-2.153944847559273717e-03,-5.326468273092359318e-02,6.298729429925815915e-02,3.143958740231720395e-01,5.219090246657039772e-02,-1.439085987193454777e-02,1.305313352397375226e+00,0.000000000000000000e+00
4.499999999999999833e-02,-2.282284637403462785e-03,-4.933244361468364786e-02,6.376314997714029043e-02,3.060168577006801560e-01,5.215219612650264652e-02,-1.660147635017886897e-02,1.450685373906597686e+00,0.000000000000000000e+00
4.750000000000000056e-02,-2.400251716779087420e-03,-4.497356870875828666e-02,6.451609074346641159e-02,2.960914953360689328e-01,5.210775991104253657e-02,-1.897423912997526704e-02,1.582501191678337360e+00,0.000000000000000000e+00
5.000000000000000278e-02,-2.506831326561468135e-03,-4.022910291335098781e-02,6.524245273600377815e-02,2.847795914792403127e-01,5.205719267007118817e-02,-2.150565913804608487e-02,1.701554403210576050e+00,0.000000000000000000e+00
5.249999999999999806e-02,-2.601108232511716457e-03,-3.513764383981795442e-02,6.593895838465022030e-02,2.722304780726205187e-01,5.200010281945652985e-02,-2.419158463136161438e-02,1.808596175475476464e+00,0.000000000000000000e+00
5.500000000000000028e-02,-2.682260773774464320e-03,-2.973547408417711105e-02,6.660269098786367192e-02,2.585836157197202168e-01,5.193610990960805668e-02,-2.702727104417194243e-02,1.904337326690721088e+00,0.000000000000000000e+00
5.750000000000000250e-02,-2.749555233846389616e-03,-2.405668695320857531e-02,6.723107075438826408e-02,2.439691647766719373e-01,5.186484602418089951e-02,-3.000744705831588643e-02,1.989450363171740843e+00,0.000000000000000000e+00
5.999999999999999778e-02,-2.802340517826352063e-03,-1.813330578934440468e-02,6.782183223577484266e-02,2.285085270265365398e-01,5.178595701811267854e-02,-3.312637709680305714e-02,2.064571466144101475e+00,0.000000000000000000e+00
6.250000000000000000e-02,-2.840043120144227027e-03,-1.199539705725399460e-02,6.837300307715166170e-02,2.123148587437499180e-01,5.169910360372383801e-02,-3.637792040399596971e-02,2.130302423240580278e+00,0.000000000000000000e+00
6.500000000000000222e-02,-2.862162367393813849e-03,-5.671177371784204453e-03,6.888288401578311626e-02,1.954935560073319811e-01,5.160396229324215600e-02,-3.975558684640300572e-02,2.187212499528468079e+00,0.000000000000000000e+00
6.750000000000000444e-02,-2.868265921364580168e-03,8.128853370693222766e-04,6.935003005916540175e-02,1.781427131730208557e-01,5.150022620580652077e-02,-4.325258954547420154e-02,2.235840243261792537e+00,0.000000000000000000e+00
7.000000000000000666e-02,-2.857985527874852723e-03,7.431976311832596063e-03,6.977323277674565838e-02,1.603535554634443472e-01,5.138760574674875597e-02,-4.686189443706582219e-02,2.276695222079425207e+00,0.000000000000000000e+00
7.249999999999999500e-02,-2.831012997551309723e-03,1.416284388473526210e-02,7.015150364180500198e-02,1.422108466794664849e-01,5.126582916673108614e-02,-5.057626684054606497e-02,2.310259686025252890e+00,0.000000000000000000e+00
7.499999999999999722e-02,-2.787096405271206976e-03,2.098371459065538278e-02,7.048405836260204782e-02,1.237932730731930581e-01,5.113464300811967900e-02,-5.438831511300193378e-02,2.336990154505646178e+00,0.000000000000000000e+00
7.749999999999999944e-02,-2.726036495578938821e-03,2.787421323385112781e-02,7.077030214451310308e-02,1.051738044525637739e-01,5.099381244579176409e-02,-5.829053145987164036e-02,2.357318925083793815e+00,0.000000000000000000e+00
8.000000000000000167e-02,-2.647683282001174650e-03,3.481528766076227160e-02,7.100981582760805544e-02,8.642003360826384928e-02,5.084312152939787777e-02,-6.227532997183718444e-02,2.371655502806631954e+00,0.000000000000000000e+00
8.250000000000000389e-02,-2.551932828808680352e-03,4.178913798790920980e-02,7.120234284684442971e-02,6.759449516553442394e-02,5.068237333392595217e-02,-6.633508195832057974e-02,2.380387949541026060e+00,0.000000000000000000e+00
8.500000000000000611e-02,-2.438724204401917020e-03,4.877915003307062292e-02,7.134777696482400011e-02,4.875496496638168087e-02,5.051139002523590688e-02,-7.046214864987530857e-02,2.383884153540611006e+00,0.000000000000000000e+00
8.750000000000000833e-02,-2.308036596125725461e-03,5.576983269934852189e-02,7.144615072981470860e-02,2.995474108198571336e-02,5.033001284704913258e-02,-7.464891134467907530e-02,2.382493020156666752e+00,0.000000000000000000e+00
8.999999999999999667e-02,-2.159886576940404056e-03,6.274675906525042923e-02,7.149762461447463358e-02,1.124290754131823319e-02,5.013810203568505597e-02,-7.888779907782127176e-02,2.376545585234561386e+00,0.000000000000000000e+00
9.249999999999999889e-02,-1.994325514987265423e-03,6.969651093932369146e-02,7.150247679340458740e-02,-7.335418159224272455e-03,4.993553666863551066e-02,-8.317131389582095580e-02,2.366356053293996453e+00,0.000000000000000000e+00
9.500000000000000111e-02,-1.811437117681924044e-03,7.660662664493718410e-02,7.146109352028454098e-02,-2.573885272818807884e-02,4.972221445285689156e-02,-8.749205382255267893e-02,2.352222763072377099e+00,0.000000000000000000e+00
9.750000000000000333e-02,-1.611335102544251500e-03,8.346555180928336148e-02,7.137396006790068526e-02,-4.392952893003686243e-02,4.949805145844012738e-02,-9.184273360630133831e-02,2.334429083414716999e+00,0.000000000000000000e+00
1.000000000000000056e-01,-1.394160987526898770e-03,9.026259294032855374e-02,7.124165219683119277e-02,-6.187289064981049691e-02,4.926298180309014035e-02,-9.621620334086422588e-02,2.313244242821596242e+00,0.000000000000000000e+00
1.025000000000000078e-01,-1.160081994131899287e-03,9.698787358603805364e-02,7.106482812091866053e-02,-7.953750024901459770e-02,4.901695729261058843e-02,-1.006054650563593944e-01,2.288924096220796844e+00,0.000000000000000000e+00
1.049999999999999961e-01,-9.092890571050277117e-04,1.036322928815183592e-01,7.084422093990713765e-02,-9.689485733588995564e-02,4.875994702234769107e-02,-1.050036873776112184e-01,2.261711832712957282e+00,0.000000000000000000e+00
1.074999999999999983e-01,-6.419949349687903298e-04,1.101874863015415290e-01,7.058063151175393568e-02,-1.139192281211247881e-01,4.849193694430013052e-02,-1.094042183496196363e-01,2.231838628160717430e+00,0.000000000000000000e+00
1.100000000000000006e-01,-3.584324160961425130e-04,1.166457884480476825e-01,7.027492173913758855e-02,-1.305874845795217676e-01,4.821292940435174118e-02,-1.138005965306571193e-01,2.199524246550724538e+00,0.000000000000000000e+00
1.125000000000000028e-01,-5.885261543772137265e-05,1.230001977144841857e-01,6.992800824656889014e-02,-1.468789526884068664e-01,4.792294265383174184e-02,-1.181865604539712039e-01,2.164977594063419275e+00,0.000000000000000000e+00
1.150000000000000050e-01,2.564766426045762154e-04,1.292443426810715168e-01,6.954085642627227948e-02,-1.627752690640170974e-01,4.762201033935491851e-02,-1.225560565589125794e-01,2.128397229743557162e+00,0.000000000000000000e+00
1.175000000000000072e-01,5.872723593151882911e-04,1.353724501071452424e-01,6.911447483263874481e-02,-1.782602453671544573e-01,4.731018097464276956e-02,-1.269032456915802354e-01,2.089971836580300391e+00,0.000000000000000000e+00
