time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235987755982988989e-02,0.000000000000000000e+00,5.235987755982988989e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,-4.002590002484573530e-07,-3.202019413582048125e-04,5.236789442530769001e-02,6.413732974399098848e-03,5.235987723282323897e-02,-5.232038388004752245e-07,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-1.601023795434003404e-06,-6.404207886839365701e-04,5.239194889739565153e-02,1.283067326903808425e-02,5.235987232726516810e-02,-4.186382625026425975e-06,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,-3.602457803969262505e-06,-9.607534722325303776e-04,5.243205340523813401e-02,1.925435017710086516e-02,5.235985106539477879e-02,-1.413256952874347090e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.404966846313241141e-06,-1.281296991569562914e-03,5.248822920695480482e-02,2.568829802828781830e-02,5.235979380472619710e-02,-3.351104542420299851e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,-1.000919937963100164e-05,-1.602148464682553357e-03,5.256050640555304243e-02,3.213605884640237387e-02,5.235967301842202326e-02,-6.548054566539218734e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,-1.441604685527276997e-05,-1.923405177127534855e-03,5.264892397149043002e-02,3.860118501218883641e-02,5.235945326764186725e-02,-1.132124736008861148e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,-1.962664419917989898e-05,-2.245164631226609191e-03,5.275352977190284065e-02,4.508724193323448981e-02,5.235909116584629847e-02,-1.798941231231528906e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-2.564237041536481651e-05,-2.567524595332156684e-03,5.287438060651797334e-02,5.159781072274188807e-02,5.235853533503075086e-02,-2.687319125371378397e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,-3.246484931265063032e-05,-2.890583153172818134e-03,5.301154225027876477e-02,5.813649088896780115e-02,5.235772635385823465e-02,-3.829546320196296856e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-4.009595035489303574e-05,-3.214438753295687564e-03,5.316508950270563277e-02,6.470690303711398861e-02,5.235659669765405783e-02,-5.258167069245882255e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,-4.853778963494223097e-05,-3.539190258618345707e-03,5.333510624403082351e-02,7.131269158544099873e-02,5.235507067022014682e-02,-7.006014791698815308e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,-5.779273097263559566e-05,-3.864936996103437820e-03,5.352168549814265847e-02,7.795752749736001297e-02,5.235306432742098393e-02,-9.106245089176075603e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,-6.786338713714219230e-05,-4.191778806567411989e-03,5.372492950238180742e-02,8.464511103123842362e-02,5.235048539248773197e-02,-1.159236898732830031e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,-7.875262119400776653e-05,-4.519816094633819295e-03,5.394494978423598069e-02,9.137917450963255195e-02,5.234723316298157264e-02,-1.449828642374010332e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,-9.046354797727328958e-05,-4.849149878840186903e-03,5.418186724498378487e-02,9.816348510963555929e-02,5.234319840935209439e-02,-1.785832000332019352e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-1.029995356870605950e-04,-5.179881841905935487e-03,5.443581225034253152e-02,1.050018476759987246e-01,5.233826326502122317e-02,-2.170724904192948123e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,-1.163642076130352426e-04,-5.512114381167073848e-03,5.470692472817904883e-02,1.118981075586510110e-01,5.233230110791810968e-02,-2.608034391852486183e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,-1.305614439841688054e-04,-5.845950659181487104e-03,5.499535427334641124e-02,1.188561534762034438e-01,5.232517643338534252e-02,-3.101340075555738488e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000056e-02,-1.455953839452296043e-04,-6.181494654506501131e-03,5.530126025971356107e-02,1.258799204069815658e-01,5.231674471837202689e-02,-3.654277644675324455e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-1.614704276604323331e-04,-6.518851212648061472e-03,5.562481195945845336e-02,1.329733925090800517e-01,5.230685227682459193e-02,-4.270542405071677157e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,-1.781912385446719055e-04,-6.858126097178262812e-03,5.596618866969912953e-02,1.401406060708782486e-01,5.229533610618157524e-02,-4.953892856801870442e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000028e-02,-1.957627456227555821e-04,-7.199426041015115872e-03,5.632557984654061600e-02,1.473856524933931100e-01,5.228202372487449762e-02,-5.708154311855948189e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000250e-02,-2.141901460170281203e-04,-7.542858797855309973e-03,5.670318524661882575e-02,1.547126813057758121e-01,5.226673300073265277e-02,-6.537222553501849040e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,-2.334789075637571005e-04,-7.888533193747285233e-03,5.709921507622596482e-02,1.621259032151796398e-01,5.224927197018602171e-02,-7.445067538710175084e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,-2.536347715586096774e-04,-8.236559178788169233e-03,5.751389014810475570e-02,1.696295931921386335e-01,5.222943864815681597e-02,-8.435737145007310422e-03,0.000000000000000000e+00,0.000000000000000000e+00
