time_s,x_m,v_m_s,theta_rad,omega_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235987755982988989e-02,0.000000000000000000e+00,3.609343246447511255e+00,0.000000000000000000e+00
2.500000000000000052e-03,1.350925552926835224e-05,1.073598364573301323e-02,5.233610467311076292e-02,-1.887586048627700255e-02,3.472938055392332135e+00,0.000000000000000000e+00
5.000000000000000104e-03,5.332791526672381327e-05,2.104953892503752533e-02,5.226619932994622242e-02,-3.691037519032509123e-02,3.340274287841883627e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.184149015324361689e-04,3.095261159140059309e-02,5.215223211247296126e-02,-5.412965418807917650e-02,3.211264240818972659e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.077586375895124895e-04,4.045685776338726891e-02,5.199620918871987463e-02,-7.055912156143312464e-02,3.085822125447356790e+00,0.000000000000000000e+00
1.250000000000000069e-02,3.203763318712227063e-04,4.957365054931867077e-02,5.180007400623551361e-02,-8.622353241314489880e-02,2.963864019814984818e+00,0.000000000000000000e+00
1.499999999999999944e-02,4.553132785689510513e-04,5.831408651152851508e-02,5.156570894371167307e-02,-1.011469894553796434e-01,2.845307823096860034e+00,0.000000000000000000e+00
1.750000000000000167e-02,6.116421741822481838e-04,6.668899197216526797e-02,5.129493692166550711e-02,-1.153529591750270533e-01,2.730073210986471377e+00,0.000000000000000000e+00
2.000000000000000042e-02,7.884624496379089107e-04,7.470892916307408926e-02,5.098952297323240679e-02,-1.288642875807223809e-01,2.618081592466061203e+00,0.000000000000000000e+00
2.249999999999999917e-02,9.848996175919290039e-04,8.238420222274811522e-02,5.065117577610766392e-02,-1.417032155379734648e-01,2.509256067930173195e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.200104634536131552e-03,8.972486304369642340e-02,5.028154914665739633e-02,-1.538913936999892207e-01,2.403521388663559577e+00,0.000000000000000000e+00
2.750000000000000014e-02,1.433253277339983662e-03,9.674071697384999113e-02,4.988224349719891371e-02,-1.654498970427548399e-01,2.300803917663376108e+00,0.000000000000000000e+00
2.999999999999999889e-02,1.683545533867440323e-03,1.034413283758279373e-01,4.945480725742852635e-02,-1.763992390136349953e-01,2.201031591786400288e+00,0.000000000000000000e+00
3.250000000000000111e-02,1.950205007318394365e-03,1.098360260480249762e-01,4.900073826095072832e-02,-1.867593853033404916e-01,2.104133885194422238e+00,0.000000000000000000e+00
3.500000000000000333e-02,2.232478333954330749e-03,1.159339085115664025e-01,4.852148509783760222e-02,-1.965497672514874006e-01,2.010041774064968756e+00,0.000000000000000000e+00
3.749999999999999861e-02,2.529634613877958238e-03,1.217438491672166861e-01,4.801844843412148706e-02,-2.057892948962367075e-01,1.918687702529710215e+00,0.000000000000000000e+00
4.000000000000000083e-02,2.840964854546814029e-03,1.272745013263299196e-01,4.749298229909731939e-02,-2.144963696786437446e-01,1.830005549799293085e+00,0.000000000000000000e+00
4.250000000000000305e-02,3.165781426711030116e-03,1.325343031198997212e-01,4.694639534128464825e-02,-2.226888968123903190e-01,1.743930598430660783e+00,0.000000000000000000e+00
4.499999999999999833e-02,3.503417532475521998e-03,1.375314822897100997e-01,4.637995205387247105e-02,-2.303842973295322227e-01,1.660399503691052825e+00,0.000000000000000000e+00
4.750000000000000056e-02,3.853226685196778616e-03,1.422740608655100047e-01,4.579487397044371827e-02,-2.375995198127850982e-01,1.579350263971810442e+00,0.000000000000000000e+00
