time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235987755982988989e-02,0.000000000000000000e+00,-5.235987755982988989e-02,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,3.083047488861520872e-05,2.466347652916966657e-02,5.225639420503887939e-02,-8.278660129705603388e-02,-5.238653168937138643e-02,-2.131978038809634324e-02,8.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.233134838757009039e-04,4.932227435500456669e-02,5.194592497753146298e-02,-1.655966913761844905e-01,-5.246644145375189972e-02,-4.259755316588648144e-02,8.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,2.774391813635365862e-04,7.397787356184021279e-02,5.142835123034691924e-02,-2.484782014576755182e-01,-5.259944969954824523e-02,-6.379161998275015288e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.932014144861543523e-04,9.863174778921601771e-02,5.070343456291270812e-02,-3.314789997348440154e-01,-5.278529510524251900e-02,-8.486034840119498213e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,7.705977035114474835e-04,1.232853614320394420e-01,4.977081700520079310e-02,-4.146468698664081964e-01,-5.302361237442196340e-02,-1.057621949753031060e-01,8.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,1.109629215147773509e-03,1.479401667589777258e-01,4.863002125768809553e-02,-4.980294877356749028e-01,-5.331393248963622183e-02,-1.264557308492260390e-01,8.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.510300728512650606e-03,1.725976009186240834e-01,4.728045099224809783e-02,-5.816743958388393976e-01,-5.365568303435334918e-02,-1.468996707924389855e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.972620593444387831e-03,1.972590828024675946e-01,4.572139122071588319e-02,-6.656289746468928570e-01,-5.404818859277861487e-02,-1.670529066144150754e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.496600680759284742e-03,2.219260097330456039e-01,4.395200873953496873e-02,-7.499404102631428426e-01,-5.449067123969641990e-02,-1.868745459341486226e-01,8.000000000000000000e+00,0.000000000000000000e+00
