time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235987755982988989e-02,0.000000000000000000e+00,-5.235987755982988989e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,-3.959502921072449018e-07,-3.167665544486881969e-04,5.238046215649725529e-02,1.646871536133329497e-02,-5.238518594355418695e-02,-2.024810255516813415e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-1.583961952621189655e-06,-6.336881227534012836e-04,5.244223178027702936e-02,3.295020322424698639e-02,-5.246113202723962088e-02,-4.051295086994807781e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,-3.564715222758254040e-06,-9.509988797665929004e-04,5.254523472512580978e-02,4.945755486183074645e-02,-5.258777860868184273e-02,-6.081129312889115013e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.339475885864358703e-06,-1.268933097493953315e-03,5.268955202345312894e-02,6.600387053465436860e-02,-5.276523036959335916e-02,-8.115988925632144912e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,-9.910095608265836575e-06,-1.587725223160156704e-03,5.287529747433620392e-02,8.260226407027128348e-02,-5.299363391221752206e-02,-1.015755167052514868e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,-1.427901247266035232e-05,-1.907609955050186502e-03,5.310261768303561197e-02,9.926586731730446811e-02,-5.327317781022109650e-02,-1.220749760819689889e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,-1.944925169754365950e-05,-2.228822315369058654e-03,5.337169211144460884e-02,1.160078344310303405e-01,-5.360409267338407668e-02,-1.426750965497642076e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-2.542442653425290366e-05,-2.551597719344209265e-03,5.368273313899589450e-02,1.328413459462855217e-01,-5.398665122546259659e-02,-1.633927409538397935e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,-3.220873933123970365e-05,-2.876172039771575980e-03,5.403598613343753992e-02,1.497796125921580235e-01,-5.442116839445355903e-02,-1.842448106076620129e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-3.980698275315503647e-05,-3.202781666178532074e-03,5.443172953077391601e-02,1.668358788012904992e-01,-5.490800141433773568e-02,-2.052482496788741173e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,-4.822454114022108431e-05,-3.531663557744340719e-03,5.487027492354723535e-02,1.840234258647198140e-01,-5.544754993722032788e-02,-2.264200491104028379e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,-5.746739199117160886e-05,-3.863055289081761788e-03,5.535196715651000132e-02,2.013555746810075653e-01,-5.604025615462360915e-02,-2.477772500095510866e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,-6.754210755075048948e-05,-4.197195087941939240e-03,5.587718442860748619e-02,2.188456880459848652e-01,-5.668660492651432514e-02,-2.693369464346890285e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,-7.845585648035691270e-05,-4.534321863858808282e-03,5.644633840005192083e-02,2.365071724267466813e-01,-5.738712391646821204e-02,-2.911162875056400590e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,-9.021640558790460234e-05,-4.874675226699159633e-03,5.705987430312556979e-02,2.543534791605936984e-01,-5.814238373118455622e-02,-3.131324787600163750e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-1.028321215903108118e-04,-5.218495494030341887e-03,5.771827105519755641e-02,2.723981050164446249e-01,-5.895299806236414808e-02,-3.354027826736056261e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,-1.163119728792392512e-04,-5.566023686159602898e-03,5.842204137227911126e-02,2.906545920528399440e-01,-5.981962382875382483e-02,-3.579445182584616303e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,-1.306655312577797350e-04,-5.917501507637577297e-03,5.917173188127253236e-02,3.091365267030461439e-01,-6.074296131593902304e-02,-3.807750596476283667e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000056e-02,-1.459029736126485376e-04,-6.273171313953768494e-03,5.996792322889086396e-02,3.278575380139709394e-01,-6.172375431123190703e-02,-4.039118335704584561e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-1.620350834832292978e-04,-6.633276062084502919e-03,6.081123018503707678e-02,3.468312949616343954e-01,-6.276279023075616303e-02,-4.273723156173038218e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,-1.790732524853391120e-04,-6.998059243484309154e-03,6.170230173823332970e-02,3.660715027618469120e-01,-6.386090023556979800e-02,-4.511740251870014484e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000028e-02,-1.970294815439929811e-04,-7.367764798040649793e-03,6.264182118048222669e-02,3.855918980905528315e-01,-6.501895933339396638e-02,-4.753345190050984881e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000250e-02,-2.159163818856504327e-04,-7.742637007440187485e-03,6.363050617872302583e-02,4.054062431240608722e-01,-6.623788646222890375e-02,-4.998713830952201120e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,-2.357471757364586066e-04,-8.122920366323276020e-03,6.466910882981567743e-02,4.255283183051469797e-01,-6.751864455183702318e-02,-5.248022230804494370e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,-2.565356966688600343e-04,-8.508859429533211644e-03,6.575841569574572554e-02,4.459719137368504116e-01,-6.886224055875854455e-02,-5.501446526861445419e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-02,-2.782963895346143423e-04,-8.900698633699254819e-03,6.689924781549218269e-02,4.667508191017614716e-01,-7.026972547019717796e-02,-5.759162803103643480e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,-3.010443099178008270e-04,-9.298682091329038904e-03,6.809246068974048050e-02,4.878788120008087925e-01,-7.174219427177222497e-02,-6.021346935231226549e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,-3.247951230367336975e-04,-9.703053355528509089e-03,6.933894423435313370e-02,5.093696446020917756e-01,-7.328078587378106246e-02,-6.288174413511709027e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.249999999999999500e-02,-3.495651020189542973e-04,-1.011405515341784640e-02,7.063962269823306772e-02,5.312370284872913739e-01,-7.488668299025250108e-02,-6.559820142010779342e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-02,-3.753711254685832715e-04,-1.053192908627232326e-02,7.199545454093053687e-02,5.534946175807532454e-01,-7.656111196469925217e-02,-6.836458212701965742e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.749999999999999944e-02,-4.022306742403514331e-04,-1.095691529439013143e-02,7.340743226505470898e-02,5.761559890446241727e-01,-7.830534253609890138e-02,-7.118261652928780103e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,-4.301618273296160875e-04,-1.138925208467784535e-02,7.487658219825832351e-02,5.992346220226038023e-01,-8.012068753824930223e-02,-7.405402144682364796e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000389e-02,-4.591832567826500456e-04,-1.182917551895151971e-02,7.640396421927034276e-02,6.227438741151264390e-01,-8.200850252526052653e-02,-7.698049714161125934e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000611e-02,-4.893142215265188335e-04,-1.227691896098085170e-02,7.799067142216013770e-02,6.466969554703256851e-01,-8.397018531556393883e-02,-7.996372390099114602e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-02,-5.205745600129919187e-04,-1.273271258035941524e-02,7.963782971273102029e-02,6.711069003781785502e-01,-8.600717544644544132e-02,-8.300535829389880105e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,-5.529846815662436185e-04,-1.319678281136963532e-02,8.134659733066523790e-02,6.959865362600178296e-01,-8.812095353074886339e-02,-8.610702908595395666e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.249999999999999889e-02,-5.865655563196624754e-04,-1.366935176513154986e-02,8.311816429078083823e-02,7.213484499524090987e-01,-9.031304050705347974e-02,-8.927033280018852324e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000111e-02,-6.213387036230013684e-04,-1.415063659348421606e-02,8.495375173651935341e-02,7.472049511934899524e-01,-9.258499677431346331e-02,-9.249682891139344720e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,-6.573261787974694122e-04,-1.464084880325285110e-02,8.685461119856741075e-02,7.735680332315565400e-01,-9.493842120166524901e-02,-9.578803466359500085e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-6.945505581133055127e-04,-1.514019351980864202e-02,8.882202375133253780e-02,8.004493304902673412e-01,-9.737495000386911514e-02,-9.914541950208001220e-01,0.000000000000000000e+00,0.000000000000000000e+00
