time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,1.039835804203108616e+00,0.000000000000000000e+00
2.500000000000000052e-03,4.062831052627769015e-06,3.250669605070788046e-03,3.141608904249888923e+00,1.300161551683343131e-02,3.141592654253908545e+00,1.062905309798927733e-06,1.040887244011928781e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.625531649939181188e-05,6.503726137021801496e-03,3.141657664227517355e+00,2.600640164664810156e-02,3.141592664217840447e+00,8.502565700284414401e-06,1.042007686802375765e+00,0.000000000000000000e+00
7.499999999999999722e-03,3.658341597887832192e-05,9.759152844001087873e-03,3.141738933446855064e+00,3.900791439240230973e-02,3.141592707393420003e+00,2.869427341347691415e-05,1.043176780946051041e+00,0.000000000000000000e+00
1.000000000000000021e-02,6.505297092899375259e-05,1.301687318056273489e-02,3.141852695421074149e+00,5.199947474925423890e-02,3.141592823623326147e+00,6.800643796424959606e-05,1.044376567852088877e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.016695644021092012e-04,1.627675817766642552e-02,3.141998916707685385e+00,6.497420273677123603e-02,3.141593068656510113e+00,1.327946748742906097e-04,1.045591348631923934e+00,0.000000000000000000e+00
1.499999999999999944e-02,1.464383988011935757e-04,1.953863341619165722e-02,3.142177546447078917e+00,7.792504994648725980e-02,3.141593514108715457e+00,2.293957919345462827e-04,1.046807562993471885e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.993641905704471426e-04,2.280228561277742455e-02,3.142388515980624408e+00,9.084483062521021834e-02,3.141594247407847096e+00,3.641216874263739274e-04,1.048013660757382448e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.604510808621567910e-04,2.606746882030662113e-02,3.142631738544621189e+00,1.037262512892134642e-01,3.141595371723991281e+00,5.432531740532927722e-04,1.049199983580616502e+00,0.000000000000000000e+00
2.249999999999999917e-02,3.297025612107642436e-04,2.933391021913248423e-02,3.142907109036384483e+00,1.165619387602153945e-01,3.141597005883918214e+00,7.730337417230402023e-04,1.050358620128740705e+00,0.000000000000000000e+00
2.500000000000000139e-02,4.071214132678792081e-04,3.260131563665821103e-02,3.143214503848810626e+00,1.293444671607441587e-01,3.141599284269925185e+00,1.059663271752864754e-03,1.051483379276707986e+00,0.000000000000000000e+00
2.750000000000000014e-02,4.927096620312150337e-04,3.586937473819701294e-02,3.143553780771258577e+00,1.420663836281482462e-01,3.141602356702918986e+00,1.409291714766733664e-03,1.052569601757300077e+00,0.000000000000000000e+00
