time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.384987510507055139e-22,7.507677188521158860e-19,3.141592653589793116e+00,1.501685597504400210e-17,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,3.753682203869580144e-21,1.501347769234055171e-18,3.141592653589793116e+00,3.003296127620729780e-17,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,8.445081245922691902e-21,2.251740198057070937e-18,3.141592653589793116e+00,4.504831609113489634e-17,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.501222688193958542e-20,3.001945052220690431e-18,3.141592653589793116e+00,6.006292060742490672e-17,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,2.345465023388396566e-20,3.751962378612717381e-18,3.141592653589793116e+00,7.507677501262854691e-17,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,3.377188254092439675e-20,4.501792224109234307e-18,3.141592653589793116e+00,9.008987949425015317e-17,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,4.596345515940500070e-20,5.251434635574607138e-18,3.141592653589793116e+00,1.051022342397471861e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,6.002889956281616526e-20,6.000889659861487529e-18,3.141592653589793116e+00,1.201138394365302555e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,7.596774734176528180e-20,6.750157343810813630e-18,3.141592653589793116e+00,1.351246952719631077e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,9.377953020394744710e-20,7.499237734251816244e-18,3.141592653589793116e+00,1.501348019333626506e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,1.134637799741161892e-19,8.248130878002020377e-18,3.141592653589793116e+00,1.651441596079989903e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,1.350200285940542295e-19,8.996836821867248311e-18,3.141592653589793116e+00,1.801527684830954436e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,1.584478081225441963e-19,9.745355612641621148e-18,3.141592653589793116e+00,1.951606287458284643e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,1.837466507353394594e-19,1.049368729710756266e-17,3.141592653589793116e+00,2.101677405833277658e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,2.109160887251347472e-19,1.124183192203580393e-17,3.141592653589793116e+00,2.251741041826762725e-16,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
