time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,2.207335378584108554e+00,0.000000000000000000e+00
2.500000000000000052e-03,7.840846732335265878e-06,6.041818774011448699e-03,1.740846350542682441e-02,-3.445006413853992505e-02,1.745431660872943588e-02,7.904718783098976321e-04,1.745326913793055976e-02,-1.809970921448959973e-05,1.763094493889242109e+00,0.000000000000000000e+00
5.000000000000000104e-03,2.912809145687116595e-05,1.078502849873988825e-02,1.728764161876767194e-02,-6.097138114241668072e-02,1.745712838400279368e-02,1.440107291634818223e-03,1.745320416758082069e-02,-3.358916096839350109e-05,1.372349438150779033e+00,0.000000000000000000e+00
7.499999999999999722e-03,6.081780111142217157e-05,1.438912188405735114e-02,1.710936576770449163e-02,-8.057306843652058126e-02,1.746144553133539140e-02,2.002893053173842447e-03,1.745310190381979543e-02,-4.819655927298060577e-05,1.030187383416318880e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.002459904002111563e-04,1.699877779656461946e-02,1.688977750736293457e-02,-9.416539463419730527e-02,1.746710756677263485e-02,2.522542315871056755e-03,1.745296271192093782e-02,-6.334916208668930503e-05,7.320991634637433743e-01,0.000000000000000000e+00
1.250000000000000069e-02,1.450931380892277710e-04,1.874508336034397954e-02,1.664285724131625566e-02,-1.025683806465542552e-01,1.747405185216159215e-02,3.033828406027969625e-03,1.745278369675823046e-02,-8.023791900108138151e-05,4.739442892447081057e-01,0.000000000000000000e+00
1.499999999999999944e-02,1.933516248360879800e-04,1.974665130371458868e-02,1.638063989588140965e-02,-1.065196355828207653e-01,1.748229275791588974e-02,3.563771320016419913e-03,1.745255922376224775e-02,-9.987169823149653967e-05,2.519201376248155766e-01,0.000000000000000000e+00
1.750000000000000167e-02,2.432958464985577533e-04,2.011064489111476922e-02,1.611341186852945778e-02,-1.066815151984849552e-01,1.749190362310434552e-02,4.132691548767945984e-03,1.745228131593892090e-02,-1.231224204136744456e-04,6.253469150766537143e-02,0.000000000000000000e+00
2.000000000000000042e-02,2.934547852282887626e-04,1.993372078640579664e-02,1.584989084733718148e-02,-1.036476781247581136e-01,1.750300119939104254e-02,4.755145664689417774e-03,1.745193994815590760e-02,-1.507623002154816563e-04,-9.741779272921172184e-02,0.000000000000000000e+00
2.249999999999999917e-02,3.425868441440141051e-04,1.930289833150735171e-02,1.559738992595828370e-02,-9.794910278530999381e-02,1.751573230015753685e-02,5.440756983404074903e-03,1.745152325706365165e-02,-1.834942641981618578e-04,-2.308787348833913899e-01,0.000000000000000000e+00
2.500000000000000139e-02,3.896567705646855704e-04,1.829636216091810527e-02,1.536196729514373478e-02,-9.005961717481164586e-02,1.753026240761661539e-02,6.194953143651109675e-03,1.745101768251126201e-02,-2.219764834854110532e-04,-3.405452349240189469e-01,0.000000000000000000e+00
2.750000000000000014e-02,4.338145084834880939e-04,1.698420384720924353e-02,1.514856267269576971e-02,-8.040098498629298651e-02,1.754676601843652498e-02,7.019620939100471718e-03,1.745040805412185342e-02,-2.668418412806861486e-04,-4.288884630428575484e-01,0.000000000000000000e+00
2.999999999999999889e-02,4.743758339981866707e-04,1.542910735771267985e-02,1.496112153378868423e-02,-6.934758487278953887e-02,1.756541853245358747e-02,7.913687342211655693e-03,1.744967763477520487e-02,-3.187130510451927946e-04,-4.981706770530976436e-01,0.000000000000000000e+00
3.250000000000000111e-02,5.108046384924433891e-04,1.368698244307967396e-02,1.480270811820086352e-02,-5.723071462232981466e-02,1.758638950984590596e-02,8.873634448373385331e-03,1.744880813107151096e-02,-3.782140511283649774e-04,-5.504610376883753986e-01,0.000000000000000000e+00
3.500000000000000333e-02,5.426967340478158677e-04,1.180754961258496938e-02,1.467560811639084112e-02,-4.434254834853078309e-02,1.760983714015091836e-02,9.893955052117929180e-03,1.744777967938445848e-02,-4.459782243566876112e-04,-5.876503409098419173e-01,0.000000000000000000e+00
3.749999999999999861e-02,5.697650642690470788e-04,9.834880022412541278e-03,1.458142186964190429e-02,-3.093977209748733498e-02,1.763590378221020077e-02,1.096755473245170261e-02,1.744657081482589578e-02,-5.226539245980540288e-04,-6.114647514546790452e-01,0.000000000000000000e+00
4.000000000000000083e-02,5.918262117082640330e-04,7.807893365009940453e-03,1.452114885864850408e-02,-1.724692124232979351e-02,1.766471244793916054e-02,1.208610564523763392e-02,1.744515842931287572e-02,-6.089077347145729294e-04,-6.234786000062459976e-01,0.000000000000000000e+00
4.250000000000000305e-02,6.087881005563419799e-04,5.760816664402037060e-03,1.449526419855367079e-02,-3.459441442061081048e-03,1.769636411509976914e-02,1.324035666770514291e-02,1.744351772393124347e-02,-7.054258299339563869e-04,-6.251262940091280029e-01,0.000000000000000000e+00
4.499999999999999833e-02,6.206388003358735998e-04,3.723606728954075452e-03,1.450378780571315480e-02,1.025350639257452748e-02,1.773093576528110560e-02,1.442040408567137402e-02,1.744162215991155659e-02,-8.129137761675147688e-04,-6.177133862157867528e-01,0.000000000000000000e+00
4.750000000000000056e-02,6.274363430322369350e-04,1.722338873028726909e-03,1.454634685186484248e-02,2.374647787438137134e-02,1.776847905328051563e-02,1.561592663389660234e-02,1.743944341175979532e-02,-9.320950531552101318e-04,-6.024268430665061791e-01,0.000000000000000000e+00
5.000000000000000278e-02,6.292994724572721372e-04,-2.204356173680097411e-04,1.462223207466386253e-02,3.689539552589009980e-02,1.780901952318784953e-02,1.681638837475148140e-02,1.743695132540586806e-02,-1.063708556765806000e-03,-5.803445551271064762e-01,0.000000000000000000e+00
5.249999999999999806e-02,6.263992506565293095e-04,-2.085360937235668927e-03,1.473044846958731190e-02,4.959540073855404213e-02,1.785255629482462858e-02,1.801121261515929023e-02,1.743411388363778902e-02,-1.208505302773645040e-03,-5.524441327501121712e-01,0.000000000000000000e+00
5.500000000000000028e-02,6.189514518410795972e-04,-3.855974935605562502e-03,1.486976084697023449e-02,6.175889134747843817e-02,1.789906215186461841e-02,1.918992980570449411e-02,1.743089718057027476e-02,-1.367244525575092226e-03,-5.196110310581686376e-01,0.000000000000000000e+00
5.750000000000000250e-02,6.072096796429453771e-04,-5.518431952577181054e-03,1.503873469938145878e-02,7.331372993473163346e-02,1.794848397002496432e-02,2.034230213127235717e-02,1.742726540644599573e-02,-1.540689339302822635e-03,-4.826460487987979109e-01,0.000000000000000000e+00
5.999999999999999778e-02,5.914591484569838107e-04,-7.061248405534316201e-03,1.523577278865269162e-02,8.420160902857237728e-02,1.800074343021485640e-02,2.145842728457090370e-02,1.742318084367870668e-02,-1.729602105416723750e-03,-4.422722453740568493e-01,0.000000000000000000e+00
6.250000000000000000e-02,5.720110742442714117e-04,-8.475069349058237181e-03,1.545914782858392664e-02,9.437656039361375093e-02,1.805573796749874657e-02,2.252882370925366265e-02,1.741860387471409755e-02,-1.934739629904285189e-03,-3.991413193670800830e-01,0.000000000000000000e+00
6.500000000000000222e-02,5.491976244408715898e-04,-9.752454368071650226e-03,1.570703160858206646e-02,1.038035965968341218e-01,1.811334191220432058e-02,2.354449940631911375e-02,1.741349300200003072e-02,-2.156848294539869329e-03,-3.538394902419058630e-01,0.000000000000000000e+00
6.750000000000000444e-02,5.233673805545297885e-04,-1.088768129259762470e-02,1.597752087514033373e-02,1.124574739763907760e-01,1.817340778450949809e-02,2.449700621510690970e-02,1.740780488011800867e-02,-2.396659210066628791e-03,-3.068929227140405613e-01,0.000000000000000000e+00
7.000000000000000666e-02,4.948812706575882138e-04,-1.187656634380421759e-02,1.626866026200355850e-02,1.203215670265259940e-01,1.823576770840386677e-02,2.537848130818445153e-02,1.740149435992663363e-02,-2.654883464515830991e-03,-2.587727307321379677e-01,0.000000000000000000e+00
7.249999999999999500e-02,4.641089323174028814e-04,-1.271629943380957195e-02,1.657846253594247310e-02,1.273868450372482031e-01,1.830023491506381841e-02,2.618167747765269907e-02,1.739451454440129122e-02,-2.932207527003910172e-03,-2.098995952312050495e-01,0.000000000000000000e+00
7.499999999999999722e-02,4.314254695676566598e-04,-1.340529344557944702e-02,1.690492640312241460e-02,1.336509425893069869e-01,1.836660530943306363e-02,2.689998363894667913e-02,1.738681685571782931e-02,-3.229288856086952493e-03,-1.606480269543935080e-01,0.000000000000000000e+00
7.749999999999999944e-02,3.972085703377151210e-04,-1.394304641409341641e-02,1.724605210093891824e-02,1.391173162030163168e-01,1.843465907718677688e-02,2.752743683711429690e-02,1.737835111301784877e-02,-3.546751751946994585e-03,-1.113503028104316228e-01,0.000000000000000000e+00
8.000000000000000167e-02,3.618359533448467177e-04,-1.433001561603962880e-02,1.759985498174657104e-02,1.437944800754112629e-01,1.850416231230458952e-02,2.805872690980948728e-02,1.736906562020588615e-02,-3.885183483180147321e-03,-6.230010152690190761e-02,0.000000000000000000e+00
8.250000000000000389e-02,3.256831158370503522e-04,-1.456750265311364777e-02,1.796437727797692285e-02,1.476953144172484800e-01,1.857486864821042069e-02,2.848919484071385511e-02,1.735890726306130866e-02,-4.245130711606760233e-03,-1.375586183989746525e-02,0.000000000000000000e+00
8.500000000000000611e-02,2.891213557722824962e-04,-1.465754868419550001e-02,1.833769822258377383e-02,1.508364404236968437e-01,1.864652087788120499e-02,2.881482572657341826e-02,1.734782161489728872e-02,-4.627096232190334481e-03,3.405611583248391305e-02,0.000000000000000000e+00
8.749999999999999445e-02,2.525160440511812609e-04,-1.460283902500500788e-02,1.871794268443936413e-02,1.532376563850546825e-01,1.871885255050652688e-02,2.903223718016550645e-02,1.733575304996345240e-02,-5.031536039708061139e-03,8.093880533253505760e-02,0.000000000000000000e+00
8.999999999999999667e-02,2.162251243011552629e-04,-1.440661639106691205e-02,1.910328846511419668e-02,1.549214298715774762e-01,1.879158953422049513e-02,2.913866389986322081e-02,1.732264486376574458e-02,-5.458856729145971677e-03,1.267218112184808065e-01,0.000000000000000000e+00
9.249999999999999889e-02,1.805978194542117951e-04,-1.407260211172061716e-02,1.949197239130138690e-02,1.559124413145800414e-01,1.886445153614842857e-02,2.913193905353636884e-02,1.730843939946466806e-02,-5.909413232792693621e-03,1.712589301898621574e-01,0.000000000000000000e+00
9.500000000000000111e-02,1.459735259815486057e-04,-1.360492469020909735e-02,1.988229532590017959e-02,1.562371746592434163e-01,1.893715357253519804e-02,2.901047304976011112e-02,1.729307817951008033e-02,-6.383506893586783290e-03,2.144259032765258866e-01,0.000000000000000000e+00
9.750000000000000333e-02,1.126808781553944694e-04,-1.300805512823463399e-02,2.027262621037134033e-02,1.559235510874739383e-01,1.900940738306897831e-02,2.877323020210603363e-02,1.727650204167555104e-02,-6.881383871354022387e-03,2.561183457262211638e-01,0.000000000000000000e+00
1.000000000000000056e-01,8.103696611198510499e-05,-1.228674847335464553e-02,2.066140524134893117e-02,1.550006021057270811e-01,1.908092278470191819e-02,2.841970373206139863e-02,1.725865127866686374e-02,-7.403233876085033895e-03,2.962498424955166687e-01,0.000000000000000000e+00
1.024999999999999939e-01,5.134669279668147924e-05,-1.144599108470401895e-02,2.104714627557672038e-02,1.534981785664080167e-01,1.915140896131449499e-02,2.794988950225966648e-02,1.723946578049665238e-02,-7.949189220291676128e-03,3.347501980762027651e-01,0.000000000000000000e+00
1.049999999999999961e-01,2.390225608973293517e-05,-1.049095314718063825e-02,2.142843854898018180e-02,1.514466924452521068e-01,1.922057568648831427e-02,2.736425882362355719e-02,1.721888517883926606e-02,-8.519324180693994483e-03,3.715638300988207687e-01,0.000000000000000000e+00
1.074999999999999983e-01,-1.017256455221890124e-06,-9.426945996752806103e-03,2.180394778803993253e-02,1.488768884334498999e-01,1.928813447745648946e-02,2.666373063715994987e-02,1.719684899260636238e-02,-9.113654657986788865e-03,4.066482967730380427e-01,0.000000000000000000e+00
1.100000000000000006e-01,-2.314617177315083326e-05,-8.259383850197865584e-03,2.217241678455847062e-02,1.458196426242052146e-01,1.935379967900392739e-02,2.584964333297596478e-02,1.717329677401339266e-02,-9.732138122181769463e-03,4.399729487704767683e-01,0.000000000000000000e+00
1.125000000000000028e-01,-4.223244488318577653e-05,-6.993749561561941538e-03,2.253266549837304455e-02,1.423057857805198889e-01,1.941728947670302852e-02,2.492372643511632513e-02,1.714816825443976622e-02,-1.037467382998898124e-02,4.715176966493117572e-01,0.000000000000000000e+00
1.150000000000000050e-01,-5.803779154115555074e-05,-5.635564055084901075e-03,2.288359074653003450e-02,1.383659488655320513e-01,1.947832683940323856e-02,2.388807235060169676e-02,1.712140348942042464e-02,-1.104110329986601920e-02,5.012718853756013004e-01,0.000000000000000000e+00
1.174999999999999933e-01,-7.033774872969632632e-05,-4.190359110366711701e-03,2.322416553187059765e-02,1.340304286996707728e-01,1.953664039135463368e-02,2.274510835416520410e-02,1.709294300214330223e-02,-1.173121102970513426e-02,5.292332679264351025e-01,0.000000000000000000e+00
1.199999999999999956e-01,-7.892167098710840345e-05,-2.663653200231685600e-03,2.355343805885529510e-02,1.293290717809661428e-01,1.959196521474395117e-02,2.149756895626798309e-02,1.706272792486540971e-02,-1.244472544162985445e-02,5.554070703729432346e-01,0.000000000000000000e+00
1.224999999999999978e-01,-8.359266985675626747e-05,-1.060930105121679666e-03,2.387053047975055964e-02,1.242911744666361090e-01,1.964404358376332579e-02,2.014846878069145863e-02,1.703070013769955593e-02,-1.318132003801945895e-02,5.798051412440421437e-01,0.000000000000000000e+00
1.250000000000000000e-01,-8.416750307627318066e-05,6.123799500520486685e-04,2.417463740998706742e-02,1.189453978659929245e-01,1.969262563162358162e-02,1.870107605905675305e-02,1.699680240426374236e-02,-1.394061475265878126e-02,6.024451783682329697e-01,0.000000000000000000e+00
1.275000000000000022e-01,-8.047641951696776145e-05,2.350916869827366154e-03,2.446502424755520391e-02,1.133196959371162438e-01,1.973746995217081843e-02,1.715888683274737966e-02,1.696097850372564955e-02,-1.472217748081109355e-02,6.233500267832829955e-01,0.000000000000000000e+00
