time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,-1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000026e-03,7.740679672142886214e-06,1.238485744832395347e-02,1.740998697096144548e-02,-6.928908216326704061e-02,-1.745897072010340126e-02,-9.083579968245079211e-03,1.745671803282138057e-02,5.480908645286837466e-03,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,3.096163584780973159e-05,2.476849622128410311e-02,1.728006485952257240e-02,-1.385900557436094416e-01,-1.747599368892901670e-02,-1.814848617606153180e-02,1.746699523440975801e-02,1.096287977154238036e-02,8.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-03,6.966154688414785364e-05,3.715123894600037835e-02,1.706349799060144154e-02,-2.079242472097365679e-01,-1.750432629854331915e-02,-2.717586373450723430e-02,1.748412611772352451e-02,1.644697513055768182e-02,8.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.238394939988930526e-04,4.953340751862108510e-02,1.676023152309840877e-02,-2.773129624062979914e-01,-1.754390986196332006e-02,-3.614687399886606922e-02,1.750811399320118672e-02,2.193423936657439705e-02,8.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000347e-03,1.934949601545941792e-04,6.191532278031135900e-02,1.637018400093524090e-02,-3.467774780083544006e-01,-1.759466215734695888e-02,-4.504270092642485845e-02,1.753896346176556792e-02,2.742569112940158177e-02,8.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,2.786278285347507230e-04,7.429730418800942204e-02,1.589324739500588488e-02,-4.163390326814980780e-01,-1.765647746040549526e-02,-5.384455780506464811e-02,1.757668037677819622e-02,3.292231419086598387e-02,8.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-03,3.792383806041350175e-04,8.667966947804704725e-02,1.532928715641592582e-02,-4.860188178421832039e-01,-1.772922658552701300e-02,-6.253369448454414170e-02,1.762127179489142437e-02,3.842504856479657394e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.953272937431823890e-04,9.906273432071749374e-02,1.467814228157697000e-02,-5.558379679115931227e-01,-1.781275693632271284e-02,-7.109140524413806728e-02,1.767274591580308279e-02,4.393478163126805780e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999958e-02,6.268956384439278596e-04,1.114468119638577920e-01,1.393962538985651402e-02,-6.258175499548231935e-01,-1.790689256647612360e-02,-7.949903743254155275e-02,1.773111201091977229e-02,4.945233926649551803e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,7.739448750525382845e-04,1.238322128634928160e-01,1.311352281462022963e-02,-6.959785525953110508e-01,-1.801143425194690756e-02,-8.773800101863811485e-02,1.779638034093717139e-02,5.497847698058418858e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000007e-02,9.364768500410369052e-04,1.362192442995666664e-01,1.219959470864249301e-02,-7.663418740923322314e-01,-1.812615957575602205e-02,-9.578977919482967174e-02,1.786856206234903321e-02,6.051387106630354978e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,1.114493791788331552e-03,1.486082099747635943e-01,1.119757516500264997e-02,-8.369283094670197931e-01,-1.825082302675831367e-02,-1.036359401781067752e-01,1.794766912290119906e-02,6.605910976317783123e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000056e-02,1.307998305848148343e-03,1.609994095943956816e-01,1.010717235472928695e-02,-9.077585365598052070e-01,-1.838515611399245062e-02,-1.112581503578573966e-01,1.803371414601314879e-02,7.161468444247466592e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.516993369678926260e-03,1.733931384253098451e-01,8.928068682602818829e-03,-9.788531008994550975e-01,-1.852886749838682928e-02,-1.186381889435214471e-01,1.812671030419742146e-02,7.718098082013438721e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-02,1.741482326808155116e-03,1.857896868317429062e-01,7.659920962678268448e-03,-1.050232399261046501e+00,-1.868164314379422430e-02,-1.257579642695442479e-01,1.822667118151709634e-02,8.275827020632842146e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.981468880401036047e-03,1.981893397860310935e-01,6.302360615245226200e-03,-1.121916661787339731e+00,-1.884314648952757978e-02,-1.325995319195882594e-01,1.833361062513349377e-02,8.834670080216779076e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.125000000000000153e-02,2.236957086200712722e-03,2.105923763520616554e-01,4.854993887100700345e-03,-1.193925932545149005e+00,-1.901301864677457099e-02,-1.391451148365585866e-01,1.844754258601065747e-02,9.394628905611779324e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.507951344804673979e-03,2.229990691393409774e-01,3.317402097172799866e-03,-1.266280048385550305e+00,-1.919087862147977191e-02,-1.453771255895822401e-01,1.856848094886024564e-02,9.955691109491547619e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000028e-02,2.794456393239267387e-03,2.354096837255454933e-01,1.689141909698783873e-03,-1.338998615974203554e+00,-1.937632356649984441e-02,-1.512781909735526065e-01,1.869643935143050148e-02,1.051782942462451409e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.096477295791591564e-03,2.478244780454236240e-01,-3.025436267038912087e-05,-1.412100986855804985e+00,-1.956892906605949348e-02,-1.568311791210788009e-01,1.883143099326613223e-02,1.108100086731089451e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.624999999999999903e-02,3.414019434055378787e-03,2.602437017439286904e-01,-1.841278423295712730e-03,-1.485606230414855844e+00,-1.976824945576308862e-02,-1.620192293105222614e-01,1.897346843409271344e-02,1.164514591427420198e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,3.747088496144847410e-03,2.726675954914878908e-01,-3.744445620789541192e-03,-1.559533104593657127e+00,-1.997381818164861364e-02,-1.668257846571011560e-01,1.912256338200970032e-02,1.221018769560708872e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000125e-02,4.095690465027902391e-03,2.850963902593537380e-01,-5.740294540178032465e-03,-1.633900024227900483e+00,-2.018514820200604729e-02,-1.712346278765988772e-01,1.927872647171070819e-02,1.277603120671005066e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,4.459831605927533013e-03,2.975303065530444102e-01,-7.829386552921481848e-03,-1.708725026860574259e+00,-2.040173243592025704e-02,-1.752299203128286909e-01,1.944196703298873771e-02,1.334256254252429719e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-02,4.839518452737818707e-03,3.099695536019616005e-01,-1.001230532255407632e-02,-1.784025735896352494e+00,-2.062304426273787322e-02,-1.787962444204331813e-01,1.961229284982764220e-02,1.390964815774640984e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,5.234757793398618110e-03,3.224143285033828077e-01,-1.228965626253389863e-02,-1.859819320961397349e+00,-2.084853807689662428e-02,-1.819186498935763119e-01,1.978970991042979313e-02,1.447713415712172935e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000222e-02,5.645556654170864538e-03,3.348648153191631782e-01,-1.466206594272766867e-02,-1.936122455337825565e+00,-2.107764990279222678e-02,-1.845827036283194666e-01,1.997422214858373540e-02,1.504484562034443251e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,6.071922282752384437e-03,3.473211841236543695e-01,-1.713018144079496430e-02,-2.012951270348235511e+00,-2.130979807458992931e-02,-1.867745437016347654e-01,2.016583117683510076e-02,1.561258596654348241e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.624999999999999750e-02,6.513862130172453149e-03,3.597835900015577959e-01,-1.969466963458575345e-02,-2.090321306573935445e+00,-2.154438398611218178e-02,-1.884809375427420330e-01,2.036453601198911015e-02,1.618013636380198628e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.971383831401822655e-03,3.722521719946857433e-01,-2.235621643152610472e-02,-2.168247461801194209e+00,-2.178079291614758856e-02,-1.896893444623712899e-01,2.057033279354417848e-02,1.674725518964048088e-01,8.000000000000000000e+00,0.000000000000000000e+00
