time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,2.211149546293288637e+00,0.000000000000000000e+00
2.500000000000000052e-03,7.910421960796499530e-06,6.098167792941322669e-03,1.740904295446979097e-02,-3.402196763023060400e-02,1.745329693442336863e-02,6.655128843864944884e-06,1.745329251994329547e-02,1.524659305052193631e-21,1.770062542097932123e+00,0.000000000000000000e+00
5.000000000000000104e-03,2.941207280023575173e-05,1.090045484548069279e-02,1.728962285809327107e-02,-6.030679084389499456e-02,1.745335723509433903e-02,5.027266008466225891e-05,1.745329251475936927e-02,-7.328690913435030005e-09,1.381435037050179560e+00,0.000000000000000000e+00
7.499999999999999722e-03,6.146476253051838924e-05,1.456397010416689980e-02,1.711314010033055527e-02,-7.982611935657391022e-02,1.745360396257910132e-02,1.600238325134369544e-04,1.745329245154971301e-02,-5.591877325484051933e-08,1.040518199493902118e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.014028508229721372e-04,1.723144768673017663e-02,1.689539233749744879e-02,-9.345787461617222069e-02,1.745423104920069968e-02,3.576348913509843535e-04,1.745329213623987921e-02,-2.279407521005553474e-07,7.429469768083090120e-01,0.000000000000000000e+00
1.250000000000000069e-02,1.469007887627715888e-04,1.903241248764974899e-02,1.665009115717059479e-02,-1.019942664853732833e-01,1.745547853409089301e-02,6.584287471390773503e-04,1.745329109184239752e-02,-6.698264771304444919e-07,4.847073565916095172e-01,0.000000000000000000e+00
1.499999999999999944e-02,1.959414492166758879e-04,2.008424752413489819e-02,1.638906707550604608e-02,-1.061491084105901234e-01,1.745761773375328549e-02,1.072249464883286976e-03,1.745328838271220304e-02,-1.603625452737593101e-06,2.621074969008858613e-01,0.000000000000000000e+00
1.750000000000000167e-02,2.467870148741600029e-04,2.049317449302654609e-02,1.612245703947822600e-02,-1.065645107067652725e-01,1.746093858899352286e-02,1.604280774764624880e-03,1.745328241548923728e-02,-3.334409468940124661e-06,7.175215746879394507e-02,0.000000000000000000e+00
2.000000000000000042e-02,2.979522194152000756e-04,2.035515717593252075e-02,1.585887590084763404e-02,-1.038170203642013872e-01,1.746573893747469311e-02,2.255769902518659550e-03,1.745327072581845385e-02,-6.254341388861181983e-06,-8.948014307494936426e-02,0.000000000000000000e+00
2.249999999999999917e-02,3.481797591507835242e-04,1.975673560479828186e-02,1.560557317174707942e-02,-9.842326465751020936e-02,1.747231548863781292e-02,3.024667315890378072e-03,1.745324975850641447e-02,-1.084393958842336960e-05,-2.244577490327487601e-01,0.000000000000000000e+00
2.500000000000000139e-02,3.964177103788577169e-04,1.877579744335527989e-02,1.536857624110660181e-02,-9.084514609533317353e-02,1.748095630293801037e-02,3.906191926223292771e-03,1.745321464753521803e-02,-1.767099956571691841e-05,-3.358146766788834281e-01,0.000000000000000000e+00
