time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,-1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000026e-03,7.778274190249578576e-06,1.244500257556760241e-02,1.741068371808662113e-02,-6.817419657745994732e-02,-1.745979989822748352e-02,-1.041037529342479957e-02,1.745654476132849769e-02,5.203726434000756872e-03,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,3.111197394818647130e-05,2.488872715602814117e-02,1.728285257697059762e-02,-1.363590762506730059e-01,-1.747931131787218081e-02,-2.080361429780634014e-02,1.746630254137984326e-02,1.040914535471416588e-02,8.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-03,6.999967511701145383e-05,3.733145099909924991e-02,1.706977324562736903e-02,-2.045746318207438130e-01,-1.751179466682357619e-02,-3.116261230309873287e-02,1.748256903685047048e-02,1.561795255826222903e-02,8.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.244402997486002572e-04,4.977345073489764654e-02,1.677139489330137581e-02,-2.728408368361003866e-01,-1.755719646079314036e-02,-4.147027938188285051e-02,1.750534953483680323e-02,2.083182738265804482e-02,8.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000347e-03,1.944331151457152147e-04,6.221500208811901744e-02,1.638764173846834690e-02,-3.411776376331843719e-01,-1.761544186530076064e-02,-5.170954613586922766e-02,1.753465140689804136e-02,2.605242421410804143e-02,8.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,2.799777325545276647e-04,7.465637959610556262e-02,1.591841308795059404e-02,-4.096049451267390062e-01,-1.768643472508413944e-02,-6.186336975375960473e-02,1.757048407255347097e-02,3.128136398448169708e-02,8.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-03,3.810741055013720335e-04,8.709785632129736499e-02,1.536358338649775404e-02,-4.781426262597305854e-01,-1.777005760133280529e-02,-7.191474049140375580e-02,1.761285895214390051e-02,3.652022565580958363e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.977225277657661238e-04,9.953970355655450408e-02,1.472300227731517322e-02,-5.468104950219744298e-01,-1.786617181734469206e-02,-8.184668868658542817e-02,1.766178940903864736e-02,4.177053768805692041e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999958e-02,6.299236309798354446e-04,1.119821905218255087e-01,1.399649467413646882e-02,-6.156283029453266664e-01,-1.797461751334464980e-02,-9.164229242253077445e-02,1.771729068116504810e-02,4.703376948691014026e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,7.776783818423640060e-04,1.244255840506241495e-01,1.318386084555291278e-02,-6.846157289818570746e-01,-1.809521371134820492e-02,-1.012846859563414081e-01,1.777937980183379521e-02,5.231132282891433338e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000007e-02,9.409880789337629788e-04,1.368701482647613210e-01,1.228487651243025287e-02,-7.537923686697605152e-01,-1.822775839110058263e-02,-1.107570690309874067e-01,1.784807550983048482e-02,5.760452326201247197e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,1.119854349116297925e-03,1.493161442357625324e-01,1.129929295936376275e-02,-8.231777224899141654e-01,-1.837202857827100258e-02,-1.200427171922323205e-01,1.792339814874183146e-02,6.291461148037247320e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000056e-02,1.314279143501939509e-03,1.617638296313841373e-01,1.022683716124496087e-02,-8.927911833139777764e-01,-1.852778044623584752e-02,-1.291249932348668694e-01,1.800536955548421442e-02,6.824273467334930621e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.524264732968213035e-03,1.742134583456242947e-01,9.067211926138593267e-03,-9.626520228427947190e-01,-1.869474943294169994e-02,-1.379873599058658584e-01,1.809401293800268901e-02,7.358993784952495842e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-02,1.749813703200401790e-03,1.866652801106083726e-01,7.820096055796452866e-03,-1.032779376931622917e+00,-1.887265037450100089e-02,-1.466133939955119592e-01,1.818935274211054207e-02,7.895715513800929952e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.990928949236427624e-03,1.991195400887127709e-01,6.485144525265353760e-03,-1.103192229696457360e+00,-1.906117765733898739e-02,-1.549868019510938499e-01,1.829141450744303440e-02,8.434520107057499883e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.125000000000000153e-02,2.247613669488678339e-03,2.115764784432791479e-01,5.061988683180138233e-03,-1.173909396293443708e+00,-1.926000539088119565e-02,-1.630914371514321226e-01,1.840022471250443020e-02,8.975476184975364480e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.519871359214982329e-03,2.240363298862614316e-01,3.550236474469023983e-03,-1.244949504261201545e+00,-1.946878760294584038e-02,-1.709113189841351133e-01,1.851581060879483806e-02,9.518638660974240717e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000028e-02,2.807705803408860456e-03,2.364993232011438629e-01,1.949472687337573196e-03,-1.316330973313832642e+00,-1.968715846018507035e-02,-1.784306538710659917e-01,1.863820004401314095e-02,1.006404786788768213e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.111121069077103958e-03,2.489656807394696469e-01,2.592592265390338078e-04,-1.388071993470577858e+00,-1.991473251610306403e-02,-1.856338583909146189e-01,1.876742127434453608e-02,1.061172868545205983e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.624999999999999903e-02,3.430121496870661753e-03,2.614356178893295080e-01,-1.520864584917686578e-03,-1.460190501406591235e+00,-2.015110498936706698e-02,-1.925055846509045043e-01,1.890350276585616926e-02,1.116168967035200826e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,3.764711692032758367e-03,2.739093425141780336e-01,-3.391381673326021411e-03,-1.532704154908228977e+00,-2.039585207531925681e-02,-1.990307480624113334e-01,1.904647298504232728e-02,1.171392219038791815e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000125e-02,4.114896514626152288e-03,2.863870543603756480e-01,-5.352796848663179605e-03,-1.605630305315722373e+00,-2.064853129379223134e-02,-2.051945576774774072e-01,1.919636017858191920e-02,1.226839956460345910e-01,8.000000000000000000e+00,0.000000000000000000e+00
