time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,5.736481571269470559e-01,0.000000000000000000e+00
1.250000000000000026e-03,5.574118408238450140e-07,8.914672991661318170e-04,3.141596074029066266e+00,5.470168835699302373e-03,3.141592575895300499e+00,-1.241209253634823438e-04,3.141592655357145158e+00,2.821456529660667245e-06,5.722135171808907517e-01,0.000000000000000000e+00
2.500000000000000052e-03,2.227693006845343656e-06,1.780596342397058798e-03,3.141606322374082882e+00,1.092442153527157025e-02,3.141592344101443057e+00,-2.462890173232047870e-04,3.141592660615056598e+00,5.574839047172104654e-06,5.708150212304140547e-01,0.000000000000000000e+00
3.749999999999999861e-03,5.007938815446962165e-06,2.667414422390731663e-03,3.141623377863507649e+00,1.636136250332753672e-02,3.141591961660833654e+00,-3.648864932835611634e-04,3.141592669240821589e+00,8.200071403909219757e-06,5.694459675010207222e-01,0.000000000000000000e+00
5.000000000000000104e-03,8.895272396040680888e-06,3.551938880899430367e-03,3.141647217956221816e+00,2.177954062943697824e-02,3.141591434045335696e+00,-4.783005247765551352e-04,3.141592681037104207e+00,1.063787888626755748e-05,5.681001707549214741e-01,0.000000000000000000e+00
6.250000000000000347e-03,1.388683275178574384e-05,4.434177904132571846e-03,3.141677818265442568e+00,2.717745487593514753e-02,3.141590768739159767e+00,-5.849243731322258675e-04,3.141592695733152585e+00,1.283012541457197282e-05,5.667719420095609362e-01,0.000000000000000000e+00
7.499999999999999722e-03,1.997976379605153865e-05,5.314131287050083072e-03,3.141715152499711117e+00,3.255355968810565853e-02,3.141589975230539178e+00,-6.831585332896743636e-04,3.141592712986431390e+00,1.472014960630040749e-05,5.654560686697863714e-01,0.000000000000000000e+00
8.750000000000000833e-03,2.717120432512849353e-05,6.191791167169382812e-03,3.141759192410538581e+00,3.790627022886697978e-02,3.141589065001968439e+00,-7.714118838799043304e-04,3.141592732384673958e+00,1.625309939404220638e-05,5.641477950710004352e-01,0.000000000000000000e+00
1.000000000000000021e-02,3.545827888946626093e-05,7.067142728505119292e-03,3.141809907746482722e+00,4.323396744010984949e-02,3.141588051519002445e+00,-8.481028417528606572e-04,3.141592753448353204e+00,1.737626488545320622e-05,5.628428034316447226e-01,0.000000000000000000e+00
1.124999999999999958e-02,4.483808952985073005e-05,7.940164884569776357e-03,3.141867266213467680e+00,4.853500298387074946e-02,3.141586950217611474e+00,-9.116605203324798035e-04,3.141592775633565982e+00,1.803940918075189789e-05,5.615372065224726317e-01,0.000000000000000000e+00
1.250000000000000069e-02,5.530770834816289892e-05,8.810830920060042440e-03,3.141931233441163762e+00,5.380770393674269569e-02,3.141585778490084468e+00,-9.605258871269035633e-04,3.141592798335329562e+00,1.819509676963844272e-05,5.602274993363508537e-01,0.000000000000000000e+00
1.375000000000000007e-02,6.686417084989708468e-05,9.679109098732277539e-03,3.142001772955056005e+00,5.905037728206384562e-02,3.141584555669490797e+00,-9.931529196768721680e-04,3.141592820891287996e+00,1.779901921920435317e-05,5.589105675908379034e-01,0.000000000000000000e+00
1.499999999999999944e-02,7.950447004509113703e-05,1.054496326026486269e-02,3.142078846154119365e+00,6.426131433832997508e-02,3.141583303012694284e+00,-1.008009761412761432e-03,3.141592842585822165e+00,1.681031791517226246e-05,5.575836626338953605e-01,0.000000000000000000e+00
1.625000000000000056e-02,9.322555127326438565e-05,1.140835338389816107e-02,3.142162412293895812e+00,6.943879498611597867e-02,3.141582043681925729e+00,-1.003579872631483886e-03,3.141592862654562612e+00,1.519190347532418765e-05,5.562443844129278947e-01,0.000000000000000000e+00
1.750000000000000167e-02,1.080243077164677525e-04,1.226923612587352448e-02,3.142252428474756609e+00,7.458109173521412782e-02,3.141580802724921018e+00,-9.783631759347384549e-04,3.141592880289298062e+00,1.291077154955535815e-05,5.548906648375672157e-01,0.000000000000000000e+00
1.874999999999999931e-02,1.238975765680674695e-04,1.312756533126733377e-02,3.142348849635147268e+00,7.968647363430998720e-02,3.141579607053630152e+00,-9.308771946162682897e-04,3.141592894643278289e+00,9.938314702015220721e-06,5.535207515334759076e-01,0.000000000000000000e+00
2.000000000000000042e-02,1.408421358256273204e-04,1.398329252081283343e-02,3.142451628549624676e+00,8.475321002553957983e-02,3.141578485421510081e+00,-8.596581825290048381e-04,3.141592904836901567e+00,6.250630073103081430e-06,5.521331919836444113e-01,0.000000000000000000e+00
2.125000000000000153e-02,1.588547016829367376e-04,1.483636736774150873e-02,3.142560715831527407e+00,8.977957423491310374e-02,3.141577468399408435e+00,-7.632622460159337648e-04,3.141592909963786706e+00,1.828822567318923557e-06,5.507268370712798955e-01,0.000000000000000000e+00
2.249999999999999917e-02,1.779319264987088496e-04,1.568673812466466269e-02,3.142676059940136657e+00,9.476384695204226327e-02,3.141576588350055044e+00,-6.402664508372656440e-04,3.141592909097219000e+00,-3.340696859298893983e-06,5.493007715776568878e-01,0.000000000000000000e+00
2.375000000000000028e-02,1.980703972643964067e-04,1.653435202288385322e-02,3.142797607191848641e+00,9.970431943540186692e-02,3.141575879401177662e+00,-4.892699158078518294e-04,3.141592901296966556e+00,-9.265918036323481327e-06,5.478543510940885319e-01,0.000000000000000000e+00
2.500000000000000139e-02,2.192666345860047540e-04,1.737915567795338470e-02,3.142925301775440161e+00,1.045992967495671389e-01,3.141575377417257453e+00,-3.088948964994071410e-04,3.141592885616459885e+00,-1.594894372447169453e-05,5.463871714034030935e-01,0.000000000000000000e+00
2.624999999999999903e-02,2.415170921481943063e-04,1.822109546010028391e-02,3.143059085771225281e+00,1.094471007792991862e-01,3.141575119969938434e+00,-9.778785186721612147e-05,3.141592861110328094e+00,-2.338570749023177812e-05,5.448990545144264397e-01,0.000000000000000000e+00
2.750000000000000014e-02,2.648181566278813440e-04,1.906011784309538312e-02,3.143198899173889060e+00,1.142460731028351745e-01,3.141575146307116650e+00,1.453795056120440186e-04,3.141592826842282360e+00,-3.156569755157025744e-05,5.433900350650570088e-01,0.000000000000000000e+00
2.875000000000000125e-02,2.891661480307518165e-04,1.989616973213588144e-02,3.143344679918830487e+00,1.189945777268016647e-01,3.141575497320725496e+00,4.219091774796851794e-04,3.141592781893344011e+00,-4.047168687200882077e-05,5.418603470890079876e-01,0.000000000000000000e+00
2.999999999999999889e-02,3.145573204247991382e-04,2.072919877129342225e-02,3.143496363911835179e+00,1.236910036851661676e-01,3.141576215513242065e+00,7.330758656650751288e-04,3.141592725370401684e+00,-5.007946977846084856e-05,5.403104111445522495e-01,0.000000000000000000e+00
3.125000000000000000e-02,3.409878630509237570e-04,2.155915364379164950e-02,3.143653885061945541e+00,1.283337675826716207e-01,3.141577344962939389e+00,1.080125977026326302e-03,3.141592656415097551e+00,-6.035760533061769462e-05,5.387408385240245456e-01,0.000000000000000000e+00
3.250000000000000111e-02,3.684539017927922731e-04,2.238598432987269626e-02,3.143817175317405788e+00,1.329213158655770388e-01,3.141578931287907661e+00,1.464276652143671996e-03,3.141592574213027067e+00,-7.126716782003696777e-05,5.371523711780002985e-01,0.000000000000000000e+00
3.375000000000000222e-02,3.969515009398076892e-04,2.320964234224854456e-02,3.143986164704256403e+00,1.374521269415479863e-01,3.141581021608875979e+00,1.886714816671101027e-03,3.141592478003247368e+00,-8.276150459501475465e-05,5.355459154878509098e-01,0.000000000000000000e+00
3.500000000000000333e-02,4.264766652585520908e-04,2.403008096872379443e-02,3.144160781367657087e+00,1.419247133294318508e-01,3.141583664510860796e+00,2.348596252170755301e-03,3.141592367088082760e+00,-9.478600137068524611e-05,5.339225163691665443e-01,0.000000000000000000e+00
3.624999999999999750e-02,4.570253423468196847e-04,2.484725548555069205e-02,3.144340951615760105e+00,1.463376236144967868e-01,3.141586910003669075e+00,2.851044692557550431e-03,3.141592240843221084e+00,-1.072778553879709412e-04,5.322833461494792529e-01,0.000000000000000000e+00
