time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,0.000000000000000000e+00,7.031144154825004655e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.017317595536077596e-04,4.027682448079616256e-02,1.743751325017189047e-01,-6.230081423391427980e-02,6.631745651092499472e+00,0.000000000000000000e+00
1.000000000000000021e-02,3.987124647806322350e-04,7.811971364883016355e-02,1.739178484559965598e-01,-1.198416136599360915e-01,6.250819159226700172e+00,0.000000000000000000e+00
1.499999999999999944e-02,8.790697490663077970e-04,1.136466716515762421e-01,1.731842090916437260e-01,-1.728856685020026818e-01,5.887594132338945130e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.531507761870881147e-03,1.469703572054480989e-01,1.721960684909208950e-01,-2.216826440014534605e-01,5.541342180242981641e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.345281260305957186e-03,1.781984057379029929e-01,1.709740645362538281e-01,-2.664694975952489608e-01,5.211372765919236372e+00,0.000000000000000000e+00
2.999999999999999889e-02,3.310171233403673766e-03,2.074337207631385405e-01,1.695376803749306382e-01,-3.074712957267495272e-01,4.897029368400244387e+00,0.000000000000000000e+00
3.500000000000000333e-02,4.416461911904580491e-03,2.347747371610723055e-01,1.679053019884232667e-01,-3.449019561915925847e-01,4.597686087203075367e+00,0.000000000000000000e+00
4.000000000000000083e-02,5.654919029765362488e-03,2.603156590269092852e-01,1.660942722234627356e-01,-3.789649221101167864e-01,4.312744658881167759e+00,0.000000000000000000e+00
4.499999999999999833e-02,7.016769216774484605e-03,2.841466746894339424e-01,1.641209416114897124e-01,-4.098537736102131346e-01,4.041631853604623181e+00,0.000000000000000000e+00
5.000000000000000278e-02,8.493680414380547217e-03,3.063541513801598115e-01,1.620007162730070227e-01,-4.377527831547986525e-01,3.783797218445186239e+00,0.000000000000000000e+00
5.500000000000000028e-02,1.007774321889056551e-02,3.270208118879839865e-01,1.597481031742797042e-01,-4.628374201982280445e-01,3.538711133882219251e+00,0.000000000000000000e+00
5.999999999999999778e-02,1.176145306745680040e-02,3.462258953668071459e-01,1.573767529761788686e-01,-4.852748105381360366e-01,3.305863150680249163e+00,0.000000000000000000e+00
6.500000000000000222e-02,1.353769319266625963e-02,3.640453042856749422e-01,1.548995006890219184e-01,-5.052241553681958708e-01,3.084760575499810642e+00,0.000000000000000000e+00
7.000000000000000666e-02,1.539971828104067658e-02,3.805517393291810713e-01,1.523284043231900864e-01,-5.228371146520180979e-01,2.874927275221590861e+00,0.000000000000000000e+00
7.499999999999999722e-02,1.734113877934052514e-02,3.958148238752442483e-01,1.496747817031900962e-01,-5.382581590432967689e-01,2.675902671856463577e+00,0.000000000000000000e+00
8.000000000000000167e-02,1.935590580026035762e-02,4.099012195016912274e-01,1.469492455926880159e-01,-5.516248941831910502e-01,2.487240901977328278e+00,0.000000000000000000e+00
8.500000000000000611e-02,2.143829658593615628e-02,4.228747338050624083e-01,1.441617372598567315e-01,-5.630683608209056112e-01,2.308510116761406827e+00,0.000000000000000000e+00
8.999999999999999667e-02,2.358290049370210389e-02,4.347964216565887163e-01,1.413215585960804765e-01,-5.727133138334005169e-01,2.139291900911134192e+00,0.000000000000000000e+00
9.500000000000000111e-02,2.578460547378499251e-02,4.457246808726120224e-01,1.384374028865665296e-01,-5.806784828693354328e-01,1.979180790879261131e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.803858501316558796e-02,4.557153431405646105e-01,1.355173843186195382e-01,-5.870768170135612918e-01,1.827783874921934171e+00,0.000000000000000000e+00
1.049999999999999961e-01,3.034028552372613000e-02,4.648217609173184717e-01,1.325690663021255877e-01,-5.920157155634986346e-01,1.684720459515071767e+00,0.000000000000000000e+00
1.100000000000000006e-01,3.268541415610115575e-02,4.730948909042811401e-01,1.295994886670472634e-01,-5.955972467285012284e-01,1.549621788573498193e+00,0.000000000000000000e+00
1.150000000000000050e-01,3.506992702341406309e-02,4.805833746028372877e-01,1.266151937943237049e-01,-5.979183558080602978e-01,1.422130803695408119e+00,0.000000000000000000e+00
1.199999999999999956e-01,3.749001782137133254e-02,4.873336163642081331e-01,1.236222517293772138e-01,-5.990710641741834319e-01,1.301901935307880009e+00,0.000000000000000000e+00
1.250000000000000000e-01,3.994210683305540743e-02,4.933898592689937579e-01,1.206262843213271874e-01,-5.991426601768202742e-01,1.188600916107013461e+00,0.000000000000000000e+00
1.300000000000000044e-01,4.242283030825763634e-02,4.987942591029421724e-01,1.176324884258855424e-01,-5.982158829078135787e-01,1.081904609568196562e+00,0.000000000000000000e+00
1.350000000000000089e-01,4.492903020837334116e-02,5.035869566361597105e-01,1.146456582056431805e-01,-5.963690995973297548e-01,9.815008475484798822e-01,0.000000000000000000e+00
1.400000000000000133e-01,4.745774430878701294e-02,5.078061483623057537e-01,1.116702065579480985e-01,-5.936764772756980557e-01,8.870882721180350927e-01,0.000000000000000000e+00
1.449999999999999900e-01,5.000619665134825587e-02,5.114881558115459415e-01,1.087101856977235326e-01,-5.902081492115804906e-01,7.983761777460021136e-01,0.000000000000000000e+00
1.499999999999999944e-01,5.257178834001619006e-02,5.146674935154281760e-01,1.057693069202884639e-01,-5.860303765328883641e-01,7.150843508343349697e-01,0.000000000000000000e+00
1.549999999999999989e-01,5.515208867306527207e-02,5.173769356726468649e-01,1.028509595674381993e-01,-5.812057053482905244e-01,6.369429043486363184e-01,0.000000000000000000e+00
1.600000000000000033e-01,5.774482660542934465e-02,5.196475815411695232e-01,9.995822921864475075e-02,-5.757931196129916218e-01,5.636921059455488603e-01,0.000000000000000000e+00
1.650000000000000078e-01,6.034788253483999027e-02,5.215089195637274688e-01,9.709391512817662495e-02,-5.698481899211867985e-01,4.950821985503628397e-01,0.000000000000000000e+00
1.700000000000000122e-01,6.295928040541337589e-02,5.229888902195840572e-01,9.426054692815453995e-02,-5.634232183577800868e-01,4.308732128043963883e-01,0.000000000000000000e+00
1.750000000000000167e-01,6.557718012227706228e-02,5.241139475851873675e-01,9.146040061699996226e-02,-5.565673795022051396e-01,3.708347711881430087e-01,0.000000000000000000e+00
1.799999999999999933e-01,6.819987027072232921e-02,5.249091195792385811e-01,8.869551385235013852e-02,-5.493268576462239094e-01,3.147458839412449194e-01,0.000000000000000000e+00
1.849999999999999978e-01,7.082576113323348077e-02,5.253980668633578821e-01,8.596770056726502074e-02,-5.417449802641929324e-01,2.623947371519328442e-01,0.000000000000000000e+00
1.900000000000000022e-01,7.345337799759524278e-02,5.256031403674495950e-01,8.327856492840403357e-02,-5.338623477573734011e-01,2.135784735846062432e-01,0.000000000000000000e+00
1.950000000000000067e-01,7.608135474912371132e-02,5.255454374086447888e-01,8.062951465477333213e-02,-5.257169594824155912e-01,1.681029669614479971e-01,0.000000000000000000e+00
2.000000000000000111e-01,7.870842773991333641e-02,5.252448563739688936e-01,7.802177371561264119e-02,-5.173443360672450586e-01,1.257825905193632465e-01,0.000000000000000000e+00
2.050000000000000155e-01,8.133342992784885206e-02,5.247201499393220336e-01,7.545639442598373048e-02,-5.087776380144178878e-01,8.643998073296721429e-02,0.000000000000000000e+00
2.099999999999999922e-01,8.395528527800188989e-02,5.239889768006883441e-01,7.293426895862391290e-02,-5.000477805918497332e-01,4.990579713365939085e-02,0.000000000000000000e+00
2.149999999999999967e-01,8.657300341892146256e-02,5.230679518974643560e-01,7.045614029062388650e-02,-4.911835450130361824e-01,1.601847916887688683e-02,0.000000000000000000e+00
2.200000000000000011e-01,8.918567454623774204e-02,5.219726951122101166e-01,6.802261260346879890e-02,-4.822116859129051969e-01,-1.537599896101671249e-02,0.000000000000000000e+00
2.250000000000000056e-01,9.179246456593163905e-02,5.207178784357988643e-01,6.563416115493843350e-02,-4.731570351307954891e-01,-4.442437457386638755e-02,0.000000000000000000e+00
2.300000000000000100e-01,9.439261046957976575e-02,5.193172715917312443e-01,6.329114164128886444e-02,-4.640426018183346213e-01,-7.126634300698508895e-02,0.000000000000000000e+00
2.350000000000000144e-01,9.698541593386476867e-02,5.177837861181643353e-01,6.099379906803276130e-02,-4.548896688968441793e-01,-9.603480351675219850e-02,0.000000000000000000e+00
2.399999999999999911e-01,9.957024713664597293e-02,5.161295179108850162e-01,5.874227614749404774e-02,-4.457178858960440526e-01,-1.188561037985893520e-01,0.000000000000000000e+00
2.449999999999999956e-01,1.021465287819124240e-01,5.143657882349599308e-01,5.653662124113611326e-02,-4.365453582130237598e-01,-1.398502824078171614e-01,0.000000000000000000e+00
2.500000000000000000e-01,1.047137403259900262e-01,5.125031832170556800e-01,5.437679586444998936e-02,-4.273887328375106098e-01,-1.591313084238414888e-01,0.000000000000000000e+00
2.550000000000000044e-01,1.072714123974444766e-01,5.105515918344041282e-01,5.226268177194181436e-02,-4.182632805962357425e-01,-1.768073177632567550e-01,0.000000000000000000e+00
2.600000000000000089e-01,1.098191234032108304e-01,5.085202424200541138e-01,5.019408763947864893e-02,-4.091829749755718781e-01,-1.929808456110020387e-01,0.000000000000000000e+00
2.650000000000000133e-01,1.123564963135872674e-01,5.064177377073878494e-01,4.817075536094105048e-02,-4.001605675875012369e-01,-2.077490545012086187e-01,0.000000000000000000e+00
2.700000000000000178e-01,1.148831956188531983e-01,5.042520884398742353e-01,4.619236597579182146e-02,-3.912076603493115368e-01,-2.212039576401529928e-01,0.000000000000000000e+00
2.750000000000000222e-01,1.173989244504082957e-01,5.020307455746816361e-01,4.425854524380625626e-02,-3.823347744521768954e-01,-2.334326371221555618e-01,0.000000000000000000e+00
2.800000000000000266e-01,1.199034218594783041e-01,4.997606311110849853e-01,4.236886888282285352e-02,-3.735514161979365255e-01,-2.445174567446839475e-01,0.000000000000000000e+00
2.850000000000000311e-01,1.223964602465930640e-01,4.974481675765825006e-01,4.052286748496759794e-02,-3.648661397869352174e-01,-2.545362691811359213e-01,0.000000000000000000e+00
2.899999999999999800e-01,1.248778429352111058e-01,4.950993062053011262e-01,3.872003112638314898e-02,-3.562866071427445158e-01,-2.635626173184562049e-01,0.000000000000000000e+00
2.949999999999999845e-01,1.273474018830417220e-01,4.927195538446328960e-01,3.695981368505889264e-02,-3.478196448619573777e-01,-2.716659296118493216e-01,0.000000000000000000e+00
2.999999999999999889e-01,1.298049955247976006e-01,4.903139986271226047e-01,3.524163688091209307e-02,-3.394712983790678651e-01,-2.789117093501927158e-01,0.000000000000000000e+00
3.049999999999999933e-01,1.322505067402989232e-01,4.878873344454436323e-01,3.356489405181693753e-02,-3.312468834377418903e-01,-2.853617177635188185e-01,0.000000000000000000e+00
3.099999999999999978e-01,1.346838409420397786e-01,4.854438842688686417e-01,3.192895367881940644e-02,-3.231510349605880017e-01,-2.910741509380425640e-01,0.000000000000000000e+00
3.150000000000000022e-01,1.371049242765214893e-01,4.829876223399914292e-01,3.033316267331448435e-02,-3.151877534098851963e-01,-2.961038105348769989e-01,0.000000000000000000e+00
3.200000000000000067e-01,1.395137019338511808e-01,4.805221952905999738e-01,2.877684943849973323e-02,-3.073604487316586309e-01,-3.005022683359461766e-01,0.000000000000000000e+00
3.250000000000000111e-01,1.419101365602986331e-01,4.780509422155636567e-01,2.725932671695847215e-02,-2.996719819750462421e-01,-3.043180246646826070e-01,0.000000000000000000e+00
3.300000000000000155e-01,1.442942067686981411e-01,4.755769137433962790e-01,2.577989423576773631e-02,-2.921247046781157430e-01,-3.075966607503834993e-01,0.000000000000000000e+00
3.350000000000000200e-01,1.466659057417748768e-01,4.731028901418100063e-01,2.433784116007314119e-02,-2.847204961102018372e-01,-3.103809851234284878e-01,0.000000000000000000e+00
3.400000000000000244e-01,1.490252399236653702e-01,4.706313984961021379e-01,2.293244836562560035e-02,-2.774607984594811838e-01,-3.127111741444235093e-01,0.000000000000000000e+00
3.450000000000000289e-01,1.513722277950897976e-01,4.681647289976321735e-01,2.156299054033519388e-02,-2.703466500529143612e-01,-3.146249067837629809e-01,0.000000000000000000e+00
3.500000000000000333e-01,1.537068987278182586e-01,4.657049503789676415e-01,2.022873812446622510e-02,-2.633787166938999502e-01,-3.161574937793383278e-01,0.000000000000000000e+00
3.549999999999999822e-01,1.560292919142542423e-01,4.632539245315164256e-01,1.892895909867556292e-02,-2.565573212010312520e-01,-3.173420013094223613e-01,0.000000000000000000e+00
3.599999999999999867e-01,1.583394553681354844e-01,4.608133203406360456e-01,1.766292062868462034e-02,-2.498824712292502803e-01,-3.182093693251597522e-01,0.000000000000000000e+00
