time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.490658503988659095e-02,0.000000000000000000e+00,3.883382549719239241e-01,0.000000000000000000e+00
5.000000000000000104e-03,4.998487785075367859e-06,1.999672735819183009e-03,3.490515319731773286e-02,-5.733153890743689909e-04,3.887619439516949438e-01,0.000000000000000000e+00
1.000000000000000021e-02,1.999921352352288098e-05,4.000837613889592081e-03,3.490084644764131216e-02,-1.149894818464337800e-03,3.891248259192487402e-01,0.000000000000000000e+00
1.499999999999999944e-02,4.500877883159166699e-05,6.003151876894515307e-03,3.489364948085876827e-02,-1.729336217948588151e-03,3.894276890701470206e-01,0.000000000000000000e+00
2.000000000000000042e-02,8.003208472206140662e-05,8.006278035284794536e-03,3.488354896737706073e-02,-2.311249452111610331e-03,3.896713206680337827e-01,0.000000000000000000e+00
2.500000000000000139e-02,1.250723578604987733e-04,1.000988383416617604e-02,3.487053349898196902e-02,-2.895256062220521835e-03,3.898565068487353513e-01,0.000000000000000000e+00
2.999999999999999889e-02,1.801311766547671360e-04,1.201364221971687116e-02,3.485459353108998071e-02,-3.480989012902226468e-03,3.899840324302954464e-01,0.000000000000000000e+00
3.500000000000000333e-02,2.452084971754945816e-04,1.401723130515690474e-02,3.483572132625493978e-02,-4.068092443540615409e-03,3.900546807288124418e-01,0.000000000000000000e+00
4.000000000000000083e-02,3.203026789053121329e-04,1.602033433629033998e-02,3.481391089890607804e-02,-4.656221424314708687e-03,3.900692333799517519e-01,0.000000000000000000e+00
4.499999999999999833e-02,4.054105103147784273e-04,1.802263965664085976e-02,3.478915796129443405e-02,-5.245041716799719173e-03,3.900284701660061137e-01,0.000000000000000000e+00
5.000000000000000278e-02,5.005272342630067393e-04,2.002384067220070243e-02,3.476145987062500414e-02,-5.834229539054179570e-03,3.899331688483813618e-01,0.000000000000000000e+00
5.500000000000000028e-02,6.056465732211116851e-04,2.202363581581241389e-02,3.473081557735240021e-02,-6.423471335117375731e-03,3.897841050053858503e-01,0.000000000000000000e+00
5.999999999999999778e-02,7.207607543166852631e-04,2.402172851120236083e-02,3.469722557461815682e-02,-7.012463548842412520e-03,3.895820518752074468e-01,0.000000000000000000e+00
6.500000000000000222e-02,8.458605341976094694e-04,2.601782713668450084e-02,3.466069184880819082e-02,-7.600912401991364274e-03,3.893277802039594726e-01,0.000000000000000000e+00
7.000000000000000666e-02,9.809352237135999988e-04,2.801164498855238105e-02,3.462121783120927082e-02,-8.188533676520006258e-03,3.890220580986860077e-01,0.000000000000000000e+00
7.499999999999999722e-02,1.125972712413968136e-03,3.000290024417687912e-02,3.457880835074373521e-02,-8.775052500980706771e-03,3.886656508852107117e-01,0.000000000000000000e+00
8.000000000000000167e-02,1.280959492860170345e-03,3.199131592482677700e-02,3.453346958776206538e-02,-9.360203140973117827e-03,3.882593209707271287e-01,0.000000000000000000e+00
8.500000000000000611e-02,1.445880684751803301e-03,3.397661985822872377e-02,3.448520902887321216e-02,-9.943728793573339622e-03,3.878038277110176235e-01,0.000000000000000000e+00
8.999999999999999667e-02,1.620720058864780428e-03,3.595854464088286268e-02,3.443403542279298291e-02,-1.052538138567328356e-02,3.872999272822015282e-01,0.000000000000000000e+00
9.500000000000000111e-02,1.805460060800509210e-03,3.793682760014976951e-02,3.437995873719110890e-02,-1.110492137616295172e-02,3.867483725569101916e-01,0.000000000000000000e+00
1.000000000000000056e-01,2.000081834544962991e-03,3.991121075612412417e-02,3.432299011651788329e-02,-1.168211756188941401e-02,3.861499129847847378e-01,0.000000000000000000e+00
1.049999999999999961e-01,2.204565245836619201e-03,4.188144078331001302e-02,3.426314184079177344e-02,-1.225674688732721583e-02,3.855052944772073831e-01,0.000000000000000000e+00
1.100000000000000006e-01,2.418888905342309048e-03,4.384726897211241314e-02,3.420042728532945997e-02,-1.282859425789597066e-02,3.848152592961621155e-01,0.000000000000000000e+00
1.150000000000000050e-01,2.643030191640094624e-03,4.580845119015900663e-02,3.413486088140035846e-02,-1.339745235686187058e-02,3.840805459471369199e-01,0.000000000000000000e+00
1.199999999999999956e-01,2.876965274008358529e-03,4.776474784346611963e-02,3.406645807778778401e-02,-1.396312146576080687e-02,3.833018890759746777e-01,0.000000000000000000e+00
1.250000000000000000e-01,3.120669135020362906e-03,4.971592383746217814e-02,3.399523530323931425e-02,-1.452540928828177473e-02,3.824800193695815365e-01,0.000000000000000000e+00
1.300000000000000044e-01,3.374115592943596580e-03,5.166174853788176730e-02,3.392120992978922556e-02,-1.508413077755014348e-02,3.816156634604074838e-01,0.000000000000000000e+00
1.350000000000000089e-01,3.637277323943294456e-03,5.360199573154296460e-02,3.384440023693612021e-02,-1.563910796675138312e-02,3.807095438346113636e-01,0.000000000000000000e+00
1.400000000000000133e-01,3.910125884089579729e-03,5.553644358702032602e-02,3.376482537665923683e-02,-1.619016980303668654e-02,3.797623787438281773e-01,0.000000000000000000e+00
1.449999999999999900e-01,4.192631731167731877e-03,5.746487461522559875e-02,3.368250533925711693e-02,-1.673715198465290308e-02,3.787748821204544036e-01,0.000000000000000000e+00
1.499999999999999944e-01,4.484764246291156331e-03,5.938707562990780398e-02,3.359746091999268880e-02,-1.727989680124008762e-02,3.777477634963717912e-01,0.000000000000000000e+00
1.549999999999999989e-01,4.786491755316674146e-03,6.130283770808411803e-02,3.350971368652906623e-02,-1.781825297724085391e-02,3.766817279250316286e-01,0.000000000000000000e+00
1.600000000000000033e-01,5.097781550061814687e-03,6.321195615041266813e-02,3.341928594714063672e-02,-1.835207551836664716e-02,3.755774759068206681e-01,0.000000000000000000e+00
1.650000000000000078e-01,5.418599909323853700e-03,6.511423044151798400e-02,3.332620071968427772e-02,-1.888122556106686112e-02,3.744357033176341498e-01,0.000000000000000000e+00
1.700000000000000122e-01,5.748912119700379936e-03,6.700946421027956235e-02,3.323048170131584489e-02,-1.940557022494766165e-02,3.732571013405810434e-01,0.000000000000000000e+00
1.750000000000000167e-01,6.088682496211232469e-03,6.889746519009390391e-02,3.313215323893729108e-02,-1.992498246808819748e-02,3.720423564007508954e-01,0.000000000000000000e+00
1.799999999999999933e-01,6.437874402721705490e-03,7.077804517911971682e-02,3.303124030036006659e-02,-2.043934094520271499e-02,3.707921501029682876e-01,0.000000000000000000e+00
1.849999999999999978e-01,6.796450272166954659e-03,7.265102000051619491e-02,3.292776844617070070e-02,-2.094852986859795443e-02,3.695071591724686799e-01,0.000000000000000000e+00
1.900000000000000022e-01,7.164371626577598073e-03,7.451620946268348866e-02,3.282176380228474244e-02,-2.145243887187601312e-02,3.681880553984251958e-01,0.000000000000000000e+00
1.950000000000000067e-01,7.541599096906544814e-03,7.637343731951477810e-02,3.271325303317536293e-02,-2.195096287633370100e-02,3.668355055802608455e-01,0.000000000000000000e+00
2.000000000000000111e-01,7.928092442657130867e-03,7.822253123066857938e-02,3.260226331576338704e-02,-2.244400196001014938e-02,3.654501714766798526e-01,0.000000000000000000e+00
2.050000000000000155e-01,8.323810571312687326e-03,8.006332272187002830e-02,3.248882231395550796e-02,-2.293146122933532177e-02,3.640327097573559101e-01,0.000000000000000000e+00
2.099999999999999922e-01,8.728711557567696983e-03,8.189564714524953659e-02,3.237295815381790315e-02,-2.341325069333278358e-02,3.625837719572129192e-01,0.000000000000000000e+00
2.149999999999999967e-01,9.142752662360763977e-03,8.371934363972691195e-02,3.225469939937251201e-02,-2.388928514033089243e-02,3.611040044332373689e-01,0.000000000000000000e+00
2.200000000000000011e-01,9.565890351709632408e-03,8.553425509144886585e-02,3.213407502900359619e-02,-2.435948401713734779e-02,3.595940483237631269e-01,0.000000000000000000e+00
2.250000000000000056e-01,9.998080315348538416e-03,8.734022809428768075e-02,3.201111441246235617e-02,-2.482377131063272582e-02,3.580545395101684680e-01,0.000000000000000000e+00
2.300000000000000100e-01,1.043927748516822705e-02,8.913711291040837814e-02,3.188584728845762772e-02,-2.528207543173947511e-02,3.564861085809281072e-01,0.000000000000000000e+00
2.350000000000000144e-01,1.088943605345898784e-02,9.092476343091175639e-02,3.175830374282086893e-02,-2.573432910172345628e-02,3.548893807979643933e-01,0.000000000000000000e+00
2.399999999999999911e-01,1.134850949095711319e-02,9.270303713656026512e-02,3.162851418723394009e-02,-2.618046924078593421e-02,3.532649760652410986e-01,0.000000000000000000e+00
2.449999999999999956e-01,1.181645056469521164e-02,9.447179505859365500e-02,3.149650933850821344e-02,-2.662043685890460101e-02,3.516135088995457902e-01,0.000000000000000000e+00
2.500000000000000000e-01,1.229321135565682524e-02,9.623090173964091165e-02,3.136232019840401453e-02,-2.705417694888287428e-02,3.499355884034089925e-01,0.000000000000000000e+00
