time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.490658503988659095e-02,0.000000000000000000e+00,2.367120121862321680e-01,0.000000000000000000e+00
5.000000000000000104e-03,2.684039750359367318e-06,1.084590419065615402e-03,3.490977946716012498e-02,1.255886543249981136e-03,2.473426354081421918e-01,0.000000000000000000e+00
1.000000000000000021e-02,1.095330001528848965e-05,2.233625306987997022e-03,3.491893027163934377e-02,2.383573573225256266e-03,2.575455964605795067e-01,0.000000000000000000e+00
1.499999999999999944e-02,2.512312844988169887e-05,3.444368360739178715e-03,3.493341160624511416e-02,3.389083931317177223e-03,2.673324880725982400e-01,0.000000000000000000e+00
2.000000000000000042e-02,4.549539295164485315e-05,4.714163618539220224e-03,3.495262718391388412e-02,4.278219986229701843e-03,2.767146188183944311e-01,0.000000000000000000e+00
2.500000000000000139e-02,7.235887798552355897e-05,6.040433316344396425e-03,3.497600919311301404e-02,5.056570750146658147e-03,2.857030195801038008e-01,0.000000000000000000e+00
2.999999999999999889e-02,1.059896703250320991e-04,7.420675797613439546e-03,3.500301724841152484e-02,5.729518785648750334e-03,2.943084498896370027e-01,0.000000000000000000e+00
3.500000000000000333e-02,1.466515344730878062e-04,8.852463475238207813e-03,3.503313737507361691e-02,6.302246908802833399e-03,3.025414041497223594e-01,0.000000000000000000e+00
4.000000000000000083e-02,1.945962780205983561e-04,1.033344084452989149e-02,3.506588102666920864e-02,6.779744693755923243e-03,3.104121177345710580e-01,0.000000000000000000e+00
4.499999999999999833e-02,2.500641071953217751e-04,1.186132254615895019e-02,3.510078413472211140e-02,7.166814784072054328e-03,3.179305729707851969e-01,0.000000000000000000e+00
5.000000000000000278e-02,3.132839728480316544e-04,1.343389147795607738e-02,3.513740618944251326e-02,7.468079015952373834e-03,3.251065049993226430e-01,0.000000000000000000e+00
5.500000000000000028e-02,3.844739071175836613e-04,1.504899695449226499e-02,3.517532935061577076e-02,7.687984358378484144e-03,3.319494075194816540e-01,0.000000000000000000e+00
5.999999999999999778e-02,4.638413510110984354e-04,1.670455291336823272e-02,3.521415758774452259e-02,7.830808675116896281e-03,3.384685384160017740e-01,0.000000000000000000e+00
6.500000000000000222e-02,5.515834731301615893e-04,1.839853616715689949e-02,3.525351584856560583e-02,7.900666313419001455e-03,3.446729252705018620e-01,0.000000000000000000e+00
7.000000000000000666e-02,6.478874797686948097e-04,2.012898469995693523e-02,3.529304925508705559e-02,7.901513524146759615e-03,3.505713707585587646e-01,0.000000000000000000e+00
