time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.726646259971647390e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-2.656344863299799358e-06,-1.062501900698222587e-03,8.729313110281283761e-02,1.066776294149465731e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-1.062518210566572737e-05,-2.125101639543582055e-03,8.737314922551991936e-02,2.134092375731915653e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,-2.390857112308756590e-05,-3.188427302696344307e-03,8.750656009775342747e-02,3.202593934521517222e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-4.251171202161527901e-05,-4.253107131640981864e-03,8.769343914707342091e-02,4.272927245594047158e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-6.644294704723147430e-05,-5.319769784259777146e-03,8.793389413680965938e-02,5.345739523724541559e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,-9.571376331726720566e-05,-6.389044594292031358e-03,8.822806522190496104e-02,6.421679277708834677e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,-1.303387968440122943e-04,-7.461561828666171507e-03,8.857612502247252939e-02,7.501396664602785758e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-1.703358378385747517e-04,-8.537952942178144225e-03,8.897827871506305830e-02,8.585543843868739811e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,-2.157258372803681919e-04,-9.618850828971754058e-03,8.943476414163652188e-02,9.674775331413365542e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-2.665329147348317060e-04,-1.070489007025501003e-02,8.994585193623262642e-02,1.076974835349442938e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000028e-02,-3.227843673990950387e-04,-1.179670717766094501e-02,9.051184566933277720e-02,1.187112320046626035e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,-3.845106803522718242e-04,-1.289494083163169637e-02,9.113308200990442864e-02,1.297956358032461843e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-02,-4.517455379838739536e-04,-1.400023211417072283e-02,9.180993090511670174e-02,1.409573697200135201e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,-5.245258365704715030e-04,-1.511322473526974415e-02,9.254279577771322429e-02,1.522031497834751834e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-02,-6.028916979671500439e-04,-1.623456525227412808e-02,9.333211374102479141e-02,1.635397367873062946e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,-6.868864843765183290e-04,-1.736490328140291237e-02,9.417835583160043267e-02,1.749739398115709443e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000611e-02,-7.765568141539719652e-04,-1.850489170058707347e-02,9.508202725943058764e-02,1.865126197381494488e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,-8.719525786035945639e-04,-1.965518684273201769e-02,9.604366767573041530e-02,1.981626927591424725e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000111e-02,-9.731269597144514031e-04,-2.081644867844711227e-02,9.706385145824461547e-02,2.099311338768336532e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-1.080136448782076592e-03,-2.198934098721633604e-02,9.814318801402768799e-02,2.218249803935810616e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.049999999999999961e-01,-1.193040865854638668e-03,-2.317453151590934124e-02,9.928232209964456267e-02,2.338513353897795632e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,-1.311903379937569801e-03,-2.437269212345120548e-02,1.004819341587269294e-01,2.460173711877873814e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000050e-01,-1.436790529884314016e-03,-2.558449891038155552e-02,1.017427406768092596e-01,2.583303327994416754e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,-1.567772245894275039e-03,-2.681063233193918538e-02,1.030654945533557715e-01,2.707975413544972954e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,-1.704921871531968206e-03,-2.805177729320636887e-02,1.044509854908759194e-01,2.834263975070107633e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,-1.848316186173786261e-03,-2.930862322473765449e-02,1.059000404010096708e-01,2.962243848163543247e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000089e-01,-1.998035427780619089e-03,-3.058186413698011155e-02,1.074135238274469967e-01,3.091990730991829306e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,-2.154163315885790787e-03,-3.187219865166600330e-02,1.089923383855260913e-01,3.223581217482902050e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999999900e-01,-2.316787074678349281e-03,-3.318033000822361717e-02,1.106374252183338763e-01,3.357092830138719286e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,-2.485997456051614648e-03,-3.450696604310756616e-02,1.123497644691087011e-01,3.492604052422724203e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.549999999999999989e-01,-2.661888762476017495e-03,-3.585281913979534302e-02,1.141303757697193222e-01,3.630194360668125286e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,-2.844558869543584341e-03,-3.721860614703223491e-02,1.159803187449660183e-01,3.769944255447915116e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000078e-01,-3.034109248018902836e-03,-3.860504826273099960e-02,1.179006935324188460e-01,3.911935292342137993e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,-3.230644985217969670e-03,-4.001287088074566289e-02,1.198926413174743327e-01,4.056250112032164790e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,-3.434274805521931023e-03,-4.144280339753995263e-02,1.219573448832752538e-01,4.202972469645606668e-01,0.000000000000000000e+00,0.000000000000000000e+00
