time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,2.211149546293263768e+00,0.000000000000000000e+00
2.500000000000000052e-03,7.910421960796424991e-06,6.098167792941265423e-03,1.740904295446979097e-02,-3.402196763023027787e-02,1.745329693442336863e-02,6.655128843876658503e-06,1.745329251994329547e-02,0.000000000000000000e+00,1.770062542097914360e+00,0.000000000000000000e+00
5.000000000000000104e-03,2.941207280023548068e-05,1.090045484548059739e-02,1.728962285809327454e-02,-6.030679084389445332e-02,1.745335723509433903e-02,5.027266008469432419e-05,1.745329251475936927e-02,-7.328690914235097292e-09,1.381435037050175785e+00,0.000000000000000000e+00
7.499999999999999722e-03,6.146476253051784714e-05,1.456397010416678357e-02,1.711314010033055874e-02,-7.982611935657324409e-02,1.745360396257910132e-02,1.600238325134710525e-04,1.745329245154971301e-02,-5.591877325252573049e-08,1.040518199493905893e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.014028508229713105e-04,1.723144768673006214e-02,1.689539233749745226e-02,-9.345787461617158232e-02,1.745423104920069968e-02,3.576348913510202406e-04,1.745329213623987921e-02,-2.279407520990883392e-07,7.429469768083091230e-01,0.000000000000000000e+00
1.250000000000000069e-02,1.469007887627704774e-04,1.903241248764964144e-02,1.665009115717059826e-02,-1.019942664853726866e-01,1.745547853409089301e-02,6.584287471391124785e-04,1.745329109184239752e-02,-6.698264771266478784e-07,4.847073565916099058e-01,0.000000000000000000e+00
1.499999999999999944e-02,1.959414492166745056e-04,2.008424752413479758e-02,1.638906707550605302e-02,-1.061491084105895683e-01,1.745761773375328549e-02,1.072249464883320803e-03,1.745328838271220304e-02,-1.603625452732936961e-06,2.621074969008899136e-01,0.000000000000000000e+00
1.750000000000000167e-02,2.467870148741583766e-04,2.049317449302646282e-02,1.612245703947823641e-02,-1.065645107067648423e-01,1.746093858899352286e-02,1.604280774764655889e-03,1.745328241548923728e-02,-3.334409468935950906e-06,7.175215746880148071e-02,0.000000000000000000e+00
2.000000000000000042e-02,2.979522194151982867e-04,2.035515717593246870e-02,1.585887590084764792e-02,-1.038170203642011374e-01,1.746573893747469311e-02,2.255769902518684270e-03,1.745327072581845385e-02,-6.254341388857839591e-06,-8.948014307493835917e-02,0.000000000000000000e+00
2.249999999999999917e-02,3.481797591507816269e-04,1.975673560479825758e-02,1.560557317174709330e-02,-9.842326465751011222e-02,1.747231548863781292e-02,3.024667315890394118e-03,1.745324975850641447e-02,-1.084393958841941904e-05,-2.244577490327341329e-01,0.000000000000000000e+00
2.500000000000000139e-02,3.964177103788557653e-04,1.877579744335528683e-02,1.536857624110661569e-02,-9.084514609533325680e-02,1.748095630293801037e-02,3.906191926223303180e-03,1.745321464753521803e-02,-1.767099956571385893e-05,-3.358146766788724369e-01,0.000000000000000000e+00
2.750000000000000014e-02,4.417988023386289946e-04,1.748229189201297440e-02,1.515282112258340558e-02,-8.149462832451617733e-02,1.749193459975974252e-02,4.893330135534741838e-03,1.745315900127534722e-02,-2.738757630815962185e-05,-4.259679218043547766e-01,0.000000000000000000e+00
2.999999999999999889e-02,4.836214077838973035e-04,1.593889056317713757e-02,1.496227171365265181e-02,-7.073814646501581926e-02,1.750550373795934506e-02,5.977276022646658971e-03,1.745307469729229927e-02,-4.072538254378781227e-05,-4.971334931541605551e-01,0.000000000000000000e+00
3.250000000000000111e-02,5.213321234919159140e-04,1.420159915194416263e-02,1.480002846785952869e-02,-5.890067075548173492e-02,1.752189322996733703e-02,7.147818984889033403e-03,1.745295169030705237e-02,-5.848991667526712128e-05,-5.513413328035943195e-01,0.000000000000000000e+00
3.500000000000000333e-02,5.545098220050779505e-04,1.232032328788731923e-02,1.466842731447428640e-02,-4.626944901310307140e-02,1.754130566510087030e-02,8.393684317240111131e-03,1.745277783613188860e-02,-8.155359812382432367e-05,-5.904492357543407177e-01,0.000000000000000000e+00
3.749999999999999861e-02,5.828510639588316191e-04,1.033939164516442522e-02,1.456912959928371998e-02,-3.309745093794517340e-02,1.756391443054490867e-02,9.702831515874964577e-03,1.745253873374979364e-02,-1.108481556096333533e-04,-6.161558475793518230e-01,0.000000000000000000e+00
4.000000000000000083e-02,6.061567677513239431e-04,8.298039166924212409e-03,1.450320376508987784e-02,-1.960653544697585349e-02,1.758986212969114796e-02,1.106271452263948331e-02,1.745221758712887580e-02,-1.473564846204716990e-04,-6.300127976924917439e-01,0.000000000000000000e+00
4.250000000000000305e-02,6.243200402322766429e-04,6.230853092407553570e-03,1.447119943938481382e-02,-5.990360788053693611e-03,1.761925960746266173e-02,1.246050766068341337e-02,1.745179508785683550e-02,-1.921041633800937853e-04,-6.334360135900507505e-01,0.000000000000000000e+00
4.499999999999999833e-02,6.373150786327714699e-04,4.168184337124770066e-03,1.447321454881640886e-02,7.582944002205042888e-03,1.765218550113384355e-02,1.388330062865096408e-02,1.745124931923873815e-02,-2.461507916886574950e-04,-6.277162553869433115e-01,0.000000000000000000e+00
4.750000000000000056e-02,6.451870601763100895e-04,2.136526652006739968e-03,1.450895603498227916e-02,2.096832878199377664e-02,1.768868624316437266e-02,1.531826560263381369e-02,1.745055568211969707e-02,-3.105812939108936019e-04,-6.140289078528730071e-01,0.000000000000000000e+00
5.000000000000000278e-02,6.480429417253149573e-04,1.588658668157773637e-04,1.457779470353953895e-02,3.404157659753380416e-02,1.772877644984334478e-02,1.675279922569472210e-02,1.744968684236787929e-02,-3.864973060774696536e-04,-5.934430671980691629e-01,0.000000000000000000e+00
5.249999999999999806e-02,6.460430974288216372e-04,-1.744998598587487078e-03,1.467881469848753700e-02,4.669724701073484086e-02,1.777243963619128120e-02,1.817464203153728447e-02,1.744861269967812323e-02,-4.750087475361763683e-04,-5.669299608237203802e-01,0.000000000000000000e+00
5.500000000000000028e-02,6.393937276411092944e-04,-3.558157895995056955e-03,1.481085805572908247e-02,5.884679383446848183e-02,1.781962920367114248e-02,1.957197764221554892e-02,1.744730037712791115e-02,-5.772256598509460223e-04,-5.353707393228184230e-01,0.000000000000000000e+00
5.750000000000000250e-02,6.283399773705920137e-04,-5.266321651387581917e-03,1.497256475462967890e-02,7.041684359253197467e-02,1.787026965287169186e-02,2.093351389264453202e-02,1.744571423073098398e-02,-6.942503796966916114e-04,-4.995636807074754770e-01,0.000000000000000000e+00
5.999999999999999778e-02,6.131597071891042080e-04,-6.857567803837416945e-03,1.516240865325802455e-02,8.134762195598692347e-02,1.792425797849029820e-02,2.224854786221704128e-02,1.744381587808514419e-02,-8.271700983127981254e-04,-4.602308469133480351e-01,0.000000000000000000e+00
6.250000000000000000e-02,5.941578638838962726e-04,-8.322112703105129239e-03,1.537872966227040068e-02,9.159151632378761954e-02,1.798146520868957460e-02,2.350701663283462362e-02,1.744156424509532219e-02,-9.770498476060012448e-04,-4.180242320224341057e-01,0.000000000000000000e+00
6.500000000000000222e-02,5.716614021734492748e-04,-9.652099911896156598e-03,1.561976248393775329e-02,1.011117636031529377e-01,1.804173805525933691e-02,2.469953544112642868e-02,1.743891562966658204e-02,-1.144925942154958196e-03,-3.735314403988130860e-01,0.000000000000000000e+00
6.750000000000000444e-02,5.460147125437060526e-04,-1.084140627747559940e-02,1.588366221652328172e-02,1.098812530943409499e-01,1.810490064500405727e-02,2.581742474942860452e-02,1.743582378120063503e-02,-1.331799897060859886e-03,-3.272809311534599641e-01,0.000000000000000000e+00
7.000000000000000666e-02,5.175755137076441760e-04,-1.188546394973445143e-02,1.616852709999401505e-02,1.178814351874975797e-01,1.817075630641661749e-02,2.685272762467489152e-02,1.743223999468963836e-02,-1.538632833689976926e-03,-2.797468631830422048e-01,0.000000000000000000e+00
7.249999999999999500e-02,4.867111713654533175e-04,-1.278109712786430069e-02,1.647241865676927694e-02,1.251013273304956708e-01,1.823908938901063273e-02,2.779821868650196592e-02,1.742811321817955283e-02,-1.766340378730790360e-03,-2.313535726033461304e-01,0.000000000000000000e+00
7.499999999999999722e-02,4.537954078640614279e-04,-1.352637241495855888e-02,1.679337946073817395e-02,1.315366094229483418e-01,1.830966709568491307e-02,2.864740576558796881e-02,1.742339017236878285e-02,-2.015788056502004159e-03,-1.824797118537914986e-01,0.000000000000000000e+00
7.749999999999999944e-02,4.192053700434410614e-04,-1.412046174892527851e-02,1.712944874897819048e-02,1.371888014318591309e-01,1.838224131120382021e-02,2.939452530057655444e-02,1.741801548111383130e-02,-2.287787169957361012e-03,-1.334620771968755004e-01,0.000000000000000000e+00
8.000000000000000167e-02,3.833190250331672375e-04,-1.456351695919254688e-02,1.747867607333833048e-02,1.420645166095053924e-01,1.845655041231522922e-02,3.003453239694806390e-02,1.741193181162980011e-02,-2.583091162204227947e-03,-8.459914886534330991e-02,0.000000000000000000e+00
8.250000000000000389e-02,3.465128560455978980e-04,-1.485655507217663318e-02,1.783913317317780897e-02,1.461747842264530250e-01,1.853232104721303994e-02,3.056308637388745891e-02,1.740508002319772832e-02,-2.902392447456823496e-03,-3.615436578554953595e-02,0.000000000000000000e+00
8.500000000000000611e-02,3.091598323201922454e-04,-1.500135355490061877e-02,1.820892423594699938e-02,1.495344362154438778e-01,1.860926987400257290e-02,3.097653253549765423e-02,1.739739932322148866e-02,-3.246319698065080681e-03,1.164084532805537142e-02,0.000000000000000000e+00
8.750000000000000833e-02,2.716276293237594253e-04,-1.500035474613657487e-02,1.858619469884250849e-02,1.521615525593253415e-01,1.868710524956371244e-02,3.127188082046442053e-02,1.738882742951262939e-02,-3.615435572490767642e-03,5.858426863112453642e-02,0.000000000000000000e+00
8.999999999999999667e-02,2.342770771190687740e-04,-1.485657877868865051e-02,1.896913873235474626e-02,1.540769606526132263e-01,1.876552886174674348e-02,3.144678190926456646e-02,1.737930073772114489e-02,-4.010234867751631509e-03,1.045003093805984551e-01,0.000000000000000000e+00
9.249999999999999889e-02,1.974608164927300587e-04,-1.457354434563124315e-02,1.935600553505743143e-02,1.553037842261521528e-01,1.884423729919692397e-02,3.149950129992112879e-02,1.736875449287269765e-02,-4.431143078842290570e-03,1.492376010370652373e-01,0.000000000000000000e+00
9.500000000000000111e-02,1.615221439943471970e-04,-1.415519670813468987e-02,1.974510455837789197e-02,1.558670377520161299e-01,1.892292355430324688e-02,3.142889180178896208e-02,1.735712296401749691e-02,-4.878515346900703410e-03,1.926667958093983835e-01,0.000000000000000000e+00
9.750000000000000333e-02,1.267940284928238562e-04,-1.360584238356551609e-02,2.013480977025988369e-02,1.557932625453260500e-01,1.900127845582001360e-02,3.123436484150030404e-02,1.734433962104233590e-02,-5.352635777365950809e-03,2.346785263006953004e-01,0.000000000000000000e+00
1.000000000000000056e-01,9.359828321106292593e-05,-1.293008999038759536e-02,2.052356305752085081e-02,1.551102010547202870e-01,1.907899202863206148e-02,3.091586092558305798e-02,1.733033731274461267e-02,-5.853717109022282122e-03,2.751815268400151782e-01,0.000000000000000000e+00
1.025000000000000078e-01,6.224487846458461276e-05,-1.213279676149039282e-02,2.090987685825631756e-02,1.538465060870425061e-01,1.915575477893926085e-02,3.047381955994033637e-02,1.731504844531526338e-02,-6.381900714610517708e-03,3.141009038714864809e-01,0.000000000000000000e+00
1.049999999999999961e-01,3.303138150912129424e-05,-1.121902027032903662e-02,2.129233610780582181e-02,1.520314819471810797e-01,1.923125890383610426e-02,2.990914888690181933e-02,1.729840516042591494e-02,-6.937256913583711437e-03,3.513765454458298576e-01,0.000000000000000000e+00
1.074999999999999983e-01,6.242511002464730391e-06,-1.019397494500457954e-02,2.166959957452436331e-02,1.496948546932455604e-01,1.930519942486922866e-02,2.922319526548560614e-02,1.728033951216424724e-02,-7.519785577568860110e-03,3.869616604411747485e-01,0.000000000000000000e+00
1.100000000000000006e-01,-1.785020538855605708e-05,-9.062992974399065524e-03,2.204040065486285657e-02,1.468665689123060392e-01,1.937727524568019777e-02,2.841771298941904098e-02,1.726078364211000582e-02,-8.129417009155313553e-03,4.208214386508196680e-01,0.000000000000000000e+00
1.125000000000000028e-01,-3.898868074996906358e-05,-7.831489237908944787e-03,2.240354769101716298e-02,1.435766086143008269e-01,1.944719013429210136e-02,2.749483430995490821e-02,1.723966995189246329e-02,-8.766013074752488504e-03,4.529318233332216836e-01,0.000000000000000000e+00
1.150000000000000050e-01,-5.692843567709048177e-05,-6.504929916337535804e-03,2.275792386862769690e-02,1.398548400226362065e-01,1.951465363098515288e-02,2.645703990620688548e-02,1.721693127261805442e-02,-9.429368572437145032e-03,4.832783882382932772e-01,0.000000000000000000e+00
1.175000000000000072e-01,-7.143869082621298269e-05,-5.088804466219324155e-03,2.310248674667301702e-02,1.357308742104038068e-01,1.957938188303584223e-02,2.530712992426498512e-02,1.719250103060431314e-02,-1.011921281593871833e-02,5.118553115167465695e-01,0.000000000000000000e+00
1.199999999999999956e-01,-8.230239329755274118e-05,-3.588600663327138826e-03,2.343626746677588898e-02,1.312339476917351311e-01,1.964109840787322050e-02,2.404819568741617744e-02,1.716631340890307014e-02,-1.083521141618676124e-02,5.386644392944801574e-01,0.000000000000000000e+00
1.224999999999999978e-01,-8.931618417794167969e-05,-2.009782443404104120e-03,2.375836968460509971e-02,1.263928192291354780e-01,1.969953478644037234e-02,2.268359216309592460e-02,1.713830350414186424e-02,-1.157696824216513688e-02,5.637144320584350776e-01,0.000000000000000000e+00
1.250000000000000000e-01,-9.229031391851128809e-05,-3.577702892949912675e-04,2.406796826188830132e-02,1.212356812600985378e-01,1.975443128874439236e-02,2.121691125746965473e-02,1.710840747825777969e-02,-1.234402754318175525e-02,5.870199873596291251e-01,0.000000000000000000e+00
1.275000000000000022e-01,-9.104851162077449999e-05,1.362076066358861373e-03,2.436430775372860902e-02,1.157900844802016299e-01,1.980553743373892131e-02,1.965195599555428357e-02,1.707656270474209453e-02,-1.313587621506897944e-02,6.086011326941729305e-01,0.000000000000000000e+00
1.300000000000000044e-01,-8.542781375123205498e-05,3.144472834837198222e-03,2.464670072241925691e-02,1.100828742454876830e-01,1.985261248581333265e-02,1.799271563332939181e-02,1.704270790905730582e-02,-1.395194619327709031e-02,6.284825827774431772e-01,0.000000000000000000e+00
1.325000000000000067e-01,-7.527835729709001964e-05,4.984225455713095845e-03,2.491452590575634826e-02,1.041401375744496621e-01,1.989542589026600458e-02,1.624334173817073776e-02,1.700678330293009868e-02,-1.479161695630991022e-02,6.466931557783073270e-01,0.000000000000000000e+00
1.350000000000000089e-01,-6.046314191107615227e-05,6.876240149502116893e-03,2.516722626493901951e-02,9.798715963956440567e-02,1.993375765021842758e-02,1.440812526500314002e-02,1.696873071226456808e-02,-1.565421812347602901e-02,6.632652434302523936e-01,0.000000000000000000e+00
1.375000000000000111e-01,-4.085776516890987371e-05,8.815533900694770900e-03,2.540430693450035360e-02,9.164838874027214644e-02,1.996739864748540635e-02,1.249147464767276158e-02,1.692849369845931401e-02,-1.653903213148893298e-02,6.782343302815456720e-01,0.000000000000000000e+00
1.400000000000000133e-01,-1.635013467597565750e-05,1.079724301884940618e-02,2.562533309431167666e-02,8.514740884378782515e-02,1.999615090995639916e-02,1.049789491805640240e-02,1.688601767295005648e-02,-1.744529697504215715e-02,6.916385576871635354e-01,0.000000000000000000e+00
1.425000000000000155e-01,1.315983959251942710e-05,1.281663041205890682e-02,2.582992778152944438e-02,7.850691886738983549e-02,2.001982782806649777e-02,8.431967859249765371e-03,1.684125000483573803e-02,-1.837220899710836561e-02,7.035183284773454115e-01,0.000000000000000000e+00
1.449999999999999900e-01,4.776056965378493494e-05,1.486909169477726445e-02,2.601776965838976940e-02,7.174871795612831893e-02,2.003825432294438144e-02,6.298333193713872777e-03,1.679414012148096672e-02,-1.931892571536080946e-02,7.139159485610366840e-01,0.000000000000000000e+00
1.474999999999999922e-01,8.752912780856883122e-05,1.695016024066782825e-02,2.618859074998395112e-02,6.489369608350771534e-02,2.005126696882068502e-02,4.101670802428120446e-03,1.674463960202079993e-02,-2.028456867178811754e-02,7.228753020339109270e-01,0.000000000000000000e+00
1.499999999999999944e-01,1.325315963511558440e-04,1.905551128077496992e-02,2.634217416455252730e-02,5.796182936993102275e-02,2.005871407226482786e-02,1.846683966830041813e-03,1.669270226372530572e-02,-2.126822629326540620e-02,7.304415566591431208e-01,0.000000000000000000e+00
1.524999999999999967e-01,1.828234264270016819e-04,2.118096513787929777e-02,2.647835180740009189e-02,5.097217957488069801e-02,2.006045571079305770e-02,-4.619163784454387647e-04,1.663828424121109595e-02,-2.226895675155152188e-02,7.366608968732029084e-01,0.000000000000000000e+00
1.549999999999999989e-01,2.384498039830249645e-04,2.332248967932679107e-02,2.659700209824349473e-02,4.394289727428720566e-02,2.005636373335618894e-02,-2.819426397331444966e-03,1.658134405851491647e-02,-2.328579081190063418e-02,7.415802817367889155e-01,0.000000000000000000e+00
1.575000000000000011e-01,2.994460209514502431e-04,2.547620206287125322e-02,2.669804770064850355e-02,3.689122828466452619e-02,2.004632172517360061e-02,-5.221163126816679573e-03,1.652184269407052514e-02,-2.431773466020115473e-02,7.452472255027662307e-01,0.000000000000000000e+00
1.600000000000000033e-01,3.658378499855591921e-04,2.763836984308467790e-02,2.678145327117127661e-02,2.983352294072973490e-02,2.003022493933121623e-02,-7.662477294919471660e-03,1.645974363865438522e-02,-2.536377269928278763e-02,7.477095987064275029e-01,0.000000000000000000e+00
1.625000000000000056e-01,4.376419212266076451e-04,2.980541149961499561e-02,2.684722323488943421e-02,2.278524787374444291e-02,2.000798019750644335e-02,-1.013876520512802318e-02,1.639501294638820092e-02,-2.642287030575893314e-02,7.490154479005259880e-01,0.000000000000000000e+00
1.650000000000000078e-01,5.148660997272084790e-04,3.197389644295021982e-02,2.689539959317175169e-02,1.576099997408072703e-02,1.997950576212319945e-02,-1.264547971219954874e-02,1.632761927890699627e-02,-2.749397653949235687e-02,7.492128323552980085e-01,0.000000000000000000e+00
1.675000000000000100e-01,5.975098622892319623e-04,3.414054454832658042e-02,2.692605976878553048e-02,8.774522253884028261e-03,1.994473118217572616e-02,-1.517814031584681020e-02,1.625753394282031250e-02,-2.857602679848414776e-02,7.483496762255335000e-01,0.000000000000000000e+00
1.700000000000000122e-01,6.855646725951642945e-04,3.630222526394052962e-02,2.693931449276706219e-02,1.838721354536074735e-03,1.990359711489189665e-02,-1.773234240022229097e-02,1.618473092061126564e-02,-2.966794541268500188e-02,7.464736348501213037e-01,0.000000000000000000e+00
1.725000000000000144e-01,7.790143536221851017e-04,3.845595633563846094e-02,2.693530573687509533e-02,-5.034313530754957675e-03,1.985605512533538883e-02,-2.030376564825808750e-02,1.610918689513353083e-02,-3.076864817091103099e-02,7.436319739970205234e-01,0.000000000000000000e+00
1.750000000000000167e-01,8.778354564291398045e-04,4.059890218671165923e-02,2.691420469490198378e-02,-1.183329052616045700e-02,1.980206746597228812e-02,-2.288818166085073921e-02,1.603088126788011075e-02,-3.187704477571056544e-02,7.398714609982484092e-01,0.000000000000000000e+00
1.774999999999999911e-01,9.819976244991321726e-04,4.272837198827023064e-02,2.687620981562564154e-02,-1.854769392098378628e-02,1.974160683815171652e-02,-2.548146081161194176e-02,1.594979617120975343e-02,-3.299204122167084807e-02,7.352382668359149775e-01,0.000000000000000000e+00
1.799999999999999933e-01,1.091463952905568887e-03,4.484181745286185822e-02,2.682154488974133888e-02,-2.516776216481620559e-02,1.967465613737261546e-02,-2.807957836845228344e-02,1.586591647472741437e-02,-3.411254209327207326e-02,7.297778783428561233e-01,0.000000000000000000e+00
1.824999999999999956e-01,1.206191341647966115e-03,4.693683038149785991e-02,2.675045719271050212e-02,-3.168446516307807381e-02,1.960120818413007768e-02,-3.067861991364000118e-02,1.577922978602416815e-02,-3.523745277898855666e-02,7.235350197714516263e-01,0.000000000000000000e+00
1.849999999999999978e-01,1.326130842576380645e-03,4.901113999201082982e-02,2.666321568509916196e-02,-3.808948101182171864e-02,1.952126544205527725e-02,-3.327478609419302208e-02,1.568972644598943048e-02,-3.636568159890145313e-02,7.165535830613602997e-01,0.000000000000000000e+00
1.875000000000000000e-01,1.451227999390589194e-03,5.106261005465928537e-02,2.656010927164755356e-02,-4.437517229810811897e-02,1.943483972498323206e-02,-3.586439673453176158e-02,1.559739951891464006e-02,-3.749614184362290437e-02,7.088765662047391558e-01,0.000000000000000000e+00
1.900000000000000022e-01,1.581423180262620572e-03,5.308923585908389281e-02,2.644144512001084593e-02,-5.053456208104781244e-02,1.934195189450290536e-02,-3.844389434325433397e-02,1.550224477761228022e-02,-3.862775372283672182e-02,7.005460191640890955e-01,0.000000000000000000e+00
1.925000000000000044e-01,1.716651902689425840e-03,5.508914103507733806e-02,2.630754703983607945e-02,-5.656130965852927683e-02,1.924263154946469559e-02,-4.100984704570515699e-02,1.540426068377785673e-02,-3.975944622223520630e-02,6.916029968470791545e-01,0.000000000000000000e+00
1.950000000000000067e-01,1.856845150236721698e-03,5.706057424813065770e-02,2.615875392258934506e-02,-6.244968621558315974e-02,1.913691670884154136e-02,-4.355895097370364455e-02,1.530344836382489110e-02,-4.089015886807458727e-02,6.820875186837076498e-01,0.000000000000000000e+00
