time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,-1.337197539359909808e-07,-1.069754395012433804e-04,1.745730523720863750e-02,3.210466767039065871e-03,1.745329215101363782e-02,-5.902800228322531117e-07,1.745329251994329547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-5.348958571283113681e-07,-2.139732717465332138e-04,1.746934791826874889e-02,6.424611199499928940e-03,1.745328661554181385e-02,-4.724540097156169490e-06,1.745329252039562462e-02,6.514205436572167824e-10,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,-1.203645752112154948e-06,-3.210426774014369256e-04,1.748943456139690975e-02,9.646278337647744283e-03,1.745326261492131936e-02,-1.595603660700726216e-05,1.745329252618750895e-02,5.213644319529421097e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.140209948365498470e-06,-4.282329391013340388e-04,1.751758879361124330e-02,1.287932733918692799e-02,1.745319794597651950e-02,-3.785674867244893759e-05,1.745329255633891810e-02,2.217096060856037419e-08,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,-3.344952350413135555e-06,-5.355935000355954018e-04,1.755384391499656416e-02,1.612763870817142398e-02,1.745306144228573469e-02,-7.402688352856782517e-05,1.745329266035322915e-02,6.786695915358592478e-08,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,-4.818360732739274014e-06,-6.431740228278065314e-04,1.759824296115226547e-02,1.939512156949988603e-02,1.745281289166155866e-02,-1.281044491453555974e-04,1.745329294118513550e-02,1.691654057833971418e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,-6.561047362380625283e-06,-7.510244488175812829e-04,1.765083878389956534e-02,2.268572100451021409e-02,1.745240292959183287e-02,-2.037749169083054573e-04,1.745329358490316576e-02,3.661465738697653421e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-8.573749770336530935e-06,-8.591950578501302742e-04,1.771169415042038800e-02,2.600342546331126103e-02,1.745177290838737655e-02,-3.047809973722328636e-04,1.745329489714678509e-02,7.148480948693756580e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,-1.085733167319899283e-05,-9.677365286805222856e-04,1.778088186103943605e-02,2.935227426964377370e-02,1.745085474172481874e-02,-4.349325523420902130e-04,1.745329734650082065e-02,1.290059503085152959e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-1.341278404667398801e-05,-1.076700000100509324e-03,1.785848488590068700e-02,3.273636523424796468e-02,1.744957072421432151e-02,-5.981166668244221676e-04,1.745330161493304985e-02,2.188179784431843239e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,-1.624122635293640373e-05,-1.186137132896865473e-03,1.794459652082978918e-02,3.615986239293132731e-02,1.744783332556274630e-02,-7.983079047315693377e-04,1.745330865546424956e-02,3.530147396571085991e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,-1.934390792403483755e-05,-1.296100172751414202e-03,1.803932056271460513e-02,3.962700388577730659e-02,1.744554495884263409e-02,-1.039578772607731467e-03,1.745331975726392010e-02,5.464452408505159536e-06,0.000000000000000000e+00,0.000000000000000000e+00
