time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,-1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,3.111197396955302648e-05,2.488872712842832638e-02,1.728285257658829233e-02,-1.363590736400938641e-01,-1.747931131780035979e-02,-2.080361737314536177e-02,1.746630254175085550e-02,1.040914575049233827e-02,8.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.244402997090165509e-04,4.977345067955708802e-02,1.677139490321563620e-02,-2.728408316041193715e-01,-1.755719647420587656e-02,-4.147028554743270590e-02,1.750534953909032437e-02,2.083182817657611152e-02,8.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,2.799777323723148586e-04,7.465637951262034389e-02,1.591841311880611357e-02,-4.096049372388942400e-01,-1.768643476549990393e-02,-6.186337905703079981e-02,1.757048408421238439e-02,3.128136518654193315e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.977225273601157841e-04,9.953970344425654149e-02,1.472300233972217640e-02,-5.468104844201306936e-01,-1.786617189825185498e-02,-8.184670120773764046e-02,1.766178943165734594e-02,4.177053931586082597e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,7.776783811335907966e-04,1.244255839085793985e-01,1.318386095008472307e-02,-6.846157155841463560e-01,-1.809521384620974005e-02,-1.012847018082125017e-01,1.777937983901743679e-02,5.231132490760541376e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,1.119854348026120931e-03,1.493161440627687464e-01,1.129929311655128964e-02,-8.231777061906688786e-01,-1.837202878052472330e-02,-1.200427365203626251e-01,1.792339820416432444e-02,6.291461404256219747e-02,8.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.524264731420072946e-03,1.742134581402086657e-01,9.067212146460845029e-03,-9.626520035124974672e-01,-1.869474971599471499e-02,-1.379873828884883580e-01,1.809401301542297100e-02,7.358994093520074276e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.990928947155845823e-03,1.991195398491301116e-01,6.485144819135157251e-03,-1.103192207181742601e+00,-1.906117803455511725e-02,-1.549868287990441018e-01,1.829141461071917205e-02,8.434520472698683879e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.519871356529966057e-03,2.240363296104933011e-01,3.550236852213177214e-03,-1.244949478384953956e+00,-1.946878808762479360e-02,-1.709113499406278158e-01,1.851581074189546927e-02,9.518639089126587627e-02,8.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.111121065718598210e-03,2.489656804252254607e-01,2.592596983722883497e-04,-1.388071964032182137e+00,-1.991473312145036409e-02,-1.856338937311129422e-01,1.876742144135706836e-02,1.061172918224913692e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,3.764711687935146361e-03,2.739093421588988941e-01,-3.391381097333598382e-03,-1.532704121684046017e+00,-2.039585281440605899e-02,-1.990307880926994455e-01,1.904647319017735430e-02,1.171392276263929916e-01,8.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,4.480681064101106614e-03,2.988689440327646496e-01,-7.405635713168557885e-03,-1.678985930580406682e+00,-2.090868276224050817e-02,-2.109825943015802285e-01,1.935319238998700966e-02,1.282507686667362923e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,5.259070937287119683e-03,3.238459751153430211e-01,-1.178779773609275536e-02,-1.827051973870513102e+00,-2.144946629621321058e-02,-2.213751238058305759e-01,1.968779814564204644e-02,1.394474620682847887e-01,8.000000000000000000e+00,0.000000000000000000e+00
