time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,-1.745329251994329547e-02,0.000000000000000000e+00,1.745329251994329547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,-1.333029583428861293e-07,-1.066547247283660364e-04,1.747008662322118225e-02,1.343779932442250823e-02,-1.747887547741979256e-02,-2.047034345041382278e-02,1.746607601604809046e-02,1.022863207599765227e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-5.334194924080266017e-07,-2.134845035373510343e-04,1.752050682804929399e-02,2.690597484276674098e-02,-1.755568402929068295e-02,-4.098844121903569282e-02,1.750445404002639455e-02,2.047929745780863175e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,-1.201039694428230862e-06,-3.206913914071810360e-04,1.760466730073885488e-02,4.043512216788267000e-02,-1.768389734138420960e-02,-6.160214070421338173e-02,1.756850925497921087e-02,3.077407026127310097e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.137359627528712718e-06,-4.284781753487322650e-04,1.772275883377531780e-02,5.405595662307921545e-02,-1.786381441223288888e-02,-8.235947622947040192e-02,1.765837960316914146e-02,4.113510650133506835e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,-3.344083644746996081e-06,-5.370487653089507998e-04,1.787504921996751345e-02,6.779937309958666836e-02,-1.809585465690720721e-02,-1.033087621929292266e-01,1.777425856166891041e-02,5.158468476654775453e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,-4.823427683183939133e-06,-6.466085832607063478e-04,1.806188377588745578e-02,8.169650561253126442e-02,-1.838055872314354675e-02,-1.244986857219635146e-01,1.791639549929979064e-02,6.214524655565283051e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,-6.578123527885683134e-06,-7.573649497708769170e-04,1.828368601369732838e-02,9.577878643273748938e-02,-1.871858953828431024e-02,-1.459783986324781901e-01,1.808509613385307288e-02,7.283943614408405764e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-8.611424038148691125e-06,-8.695274672213455271e-04,1.854095846012979165e-02,1.100780046518638200e-01,-1.911073358500920555e-02,-1.677976084607503138e-01,1.828072308823682976e-02,8.369013983112599808e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,-1.092710932669324237e-05,-9.833083987050195325e-04,1.883428362100100090e-02,1.246263640129982864e-01,-1.955790240320799331e-02,-1.900066682954564268e-01,1.850369654379071041e-02,9.472052439654084222e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-1.352949387947818922e-05,-1.098923041430507593e-03,1.916432508917811223e-02,1.394565398074767704e-01,-2.006113431460384774e-02,-2.126566650877134979e-01,1.875449498855086619e-02,1.059540745684155322e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,-1.642343460073818106e-05,-1.216590093241774577e-03,1.953182879337912736e-02,1.546017346008431437e-01,-2.062159636585822464e-02,-2.357995060568858769e-01,1.903365605771184521e-02,1.174146292713613010e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,-1.961433976401256426e-05,-1.336532010589509389e-03,1.993762438453552249e-02,1.700957325059648528e-01,-2.124058648484583589e-02,-2.594880027386464172e-01,1.934177746290817804e-02,1.291264163855347646e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,-2.310817884539237649e-05,-1.458975355975190022e-03,2.038262675567916946e-02,1.859729516686886297e-01,-2.191953584355288420e-02,-2.837759521382856587e-01,1.967951800620933861e-02,1.411140857016928984e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,-2.691149320981749691e-05,-1.584151132522552182e-03,2.086783769040389397e-02,2.022684945703294157e-01,-2.266001141959095300e-02,-3.087182143553753311e-01,2.004759867387090333e-02,1.534027397050308217e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,-3.103140761487782661e-05,-1.712295102909602244e-03,2.139434763387685831e-02,2.190181956809204022e-01,-2.346371874659801057e-02,-3.343707859343417188e-01,2.044680380389273661e-02,1.660179617602114688e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-3.547564248906596600e-05,-1.843648089412365130e-03,2.196333757911136941e-02,2.362586659166457104e-01,-2.433250484177840872e-02,-3.607908680679287050e-01,2.087798232028191189e-02,1.789858412010672251e-01,0.000000000000000000e+00,0.000000000000000000e+00
