time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,5.866879005094656208e-01,0.000000000000000000e+00
2.500000000000000052e-03,2.288316666694195879e-06,1.829313824601876094e-03,3.141606382225176297e+00,1.097386137423252660e-02,3.141592654854410416e+00,2.021574497656984982e-06,3.141592653589793116e+00,9.529120656610881401e-23,5.842609561286647990e-01,0.000000000000000000e+00
5.000000000000000104e-03,9.139860796469375713e-06,3.650615461447369314e-03,3.141647472557299814e+00,2.188754632672610875e-02,3.141592673785542633e+00,1.614424489842451721e-05,3.141592653591342543e+00,2.230064951778637643e-09,5.819514252621708073e-01,0.000000000000000000e+00
7.499999999999999722e-03,2.053479125173606487e-05,5.464032480964877911e-03,3.141715760222231868e+00,3.272978743595526124e-02,3.141592755683817906e+00,5.438988025007266536e-05,3.141592653611148922e+00,1.781660111116134013e-08,5.797131715649690431e-01,0.000000000000000000e+00
1.000000000000000021e-02,3.645341651542948521e-05,7.269560817550774906e-03,3.141811051787254172e+00,4.348862349955574802e-02,3.141592975768871199e+00,1.286668151388583399e-04,3.141592653714069261e+00,7.561795183190728485e-08,5.775073031181030547e-01,0.000000000000000000e+00
1.250000000000000069e-02,5.687589343488709428e-05,9.067086752996340870e-03,3.141933123210369772e+00,5.415155310138728556e-02,3.141593438857730902e+00,2.507395410551022910e-04,3.141592654068388502e+00,2.309649181275563567e-07,5.753016262405742376e-01,0.000000000000000000e+00
1.499999999999999944e-02,8.178197873929846464e-05,1.085640712183028218e-02,3.142081718671303481e+00,6.470567802856436179e-02,3.141594278966872711e+00,4.321979834673542620e-04,3.141592655022801051e+00,5.742781430750030386e-07,5.730700421259168342e-01,0.000000000000000000e+00
1.750000000000000167e-02,1.111508288495128459e-04,1.263724780349096376e-02,3.142256549748184025e+00,7.513783675243859705e-02,3.141595658837156524e+00,6.844265635148377887e-04,3.141592657204751671e+00,1.239533982170105578e-06,5.707920661774266158e-01,0.000000000000000000e+00
2.000000000000000042e-02,1.449608440192960712e-04,1.440928067945860050e-02,3.142457294916790378e+00,8.543472887704320340e-02,3.141597769381347049e+00,1.018573233333850336e-03,3.141592661639723172e+00,2.412550305300999122e-06,5.684523173463743584e-01,0.000000000000000000e+00
2.249999999999999917e-02,1.831895529520101049e-04,1.617213909032077374e-02,3.142683599349472612e+00,9.558303060889040970e-02,3.141600829054376653e+00,1.445518664986062763e-03,3.141592669890983291e+00,4.339063641028387697e-06,5.660400730580474882e-01,0.000000000000000000e+00
2.500000000000000139e-02,2.258135342037137093e-04,1.792543175685098675e-02,3.142935074991483280e+00,1.055695008857871486e-01,3.141605083146953081e+00,1.975845764022699652e-03,3.141592684219232545e+00,7.332569179764066077e-06,5.635487263058087670e-01,0.000000000000000000e+00
2.750000000000000014e-02,2.728083704890103822e-04,1.966875527841439875e-02,3.143211300890931259e+00,1.153810787071533339e-01,3.141610803003525909e+00,2.619809669425835798e-03,3.141592707761528658e+00,1.178189539823994606e-05,5.609754301733442805e-01,0.000000000000000000e+00
2.999999999999999889e-02,3.241486327483768747e-04,2.140170540238667610e-02,3.143511823762691559e+00,1.250049726994077737e-01,3.141618285166019486e+00,3.387308392850487716e-03,3.141592744728784137e+00,1.815848545011644017e-05,5.583206633042967493e-01,0.000000000000000000e+00
3.250000000000000111e-02,3.798078907630303576e-04,2.312388702639614144e-02,3.143836158765856315e+00,1.344287425666906288e-01,3.141627850445118053e+00,4.287854242059862403e-03,3.141592800621075376e+00,2.702335799106032069e-05,5.555878604409345556e-01,0.000000000000000000e+00
3.500000000000000333e-02,4.397587472668121767e-04,2.483492296594294602e-02,3.144183790475004514e+00,1.436403725099135720e-01,3.141639842921229331e+00,5.330546164996778635e-03,3.141592882459921299e+00,3.903372076966742446e-05,5.527829893304945230e-01,0.000000000000000000e+00
3.749999999999999861e-02,5.039728924479188344e-04,2.653446155901528769e-02,3.144554174024954296e+00,1.526283369398532819e-01,3.141654628877595279e+00,6.524043142298933257e-03,3.141592999036638467e+00,5.494921111496356956e-05,5.499142442730327041e-01,0.000000000000000000e+00
4.000000000000000083e-02,5.724211762218763249e-04,2.822218326016132789e-02,3.144946736411346144e+00,1.613816593031188740e-01,3.141672595668319357e+00,7.876538747537865578e-03,3.141593161175803228e+00,7.563773839195393875e-05,5.469917047753650730e-01,0.000000000000000000e+00
4.250000000000000305e-02,6.450736956945610093e-04,2.989780622157959741e-02,3.145360877929397780e+00,1.698899639179790311e-01,3.141694150524370510e+00,9.395736986345906011e-03,3.141593382012798141e+00,1.020809045711520985e-04,5.440270389929204864e-01,0.000000000000000000e+00
4.499999999999999833e-02,7.218998954068852692e-04,3.156109092806186345e-02,3.145795973733996664e+00,1.781435211403715191e-01,3.141719719300891001e+00,1.108882951715217668e-02,3.141593677284357344e+00,1.353789802669334798e-04,5.410331888203173678e-01,0.000000000000000000e+00
4.750000000000000056e-02,8.028686779498754762e-04,3.321184388246787439e-02,3.146251375504087289e+00,1.861332857672224894e-01,3.141749745169382546e+00,1.296247434763203935e-02,3.141594065630976207e+00,1.767554149336625000e-04,5.380241018544059672e-01,0.000000000000000000e+00
5.000000000000000278e-02,8.879485227783437840e-04,3.484992048776405782e-02,3.146726413195576111e+00,1.938509294881811396e-01,3.141784687258568631e+00,1.502277609208039350e-02,3.141594568909991114e+00,2.275608613697354635e-04,5.350144802382071907e-01,0.000000000000000000e+00
5.249999999999999806e-02,9.771076112786191478e-04,3.647522719118850842e-02,3.147220396868184888e+00,2.012888677214788591e-01,3.141825019247930229e+00,1.727526786631548156e-02,3.141595212518096591e+00,2.892766962526760509e-04,5.320195737839766847e-01,0.000000000000000000e+00
5.500000000000000028e-02,1.070313956300548985e-03,3.808772286902125520e-02,3.147732618572477215e+00,2.084402806544332076e-01,3.141871227918098697e+00,1.972489488807639343e-02,3.141596025722013685e+00,3.635180201041928990e-04,5.290548911144266064e-01,0.000000000000000000e+00
5.750000000000000250e-02,1.167535534122038626e-03,3.968741945364805124e-02,3.148262354281716302e+00,2.152991284561262542e-01,3.141923811662444610e+00,2.237599984164924047e-02,3.141597041995993767e+00,4.520361218582687624e-04,5.261360373316047445e-01,0.000000000000000000e+00
5.999999999999999778e-02,1.268740417327281211e-03,4.127438202135103040e-02,3.148808865856192796e+00,2.218601619379728385e-01,3.141983278964333604e+00,2.523231005617046496e-02,3.141598299364800173e+00,5.567203950632010345e-04,5.232785212291595212e-01,0.000000000000000000e+00
6.250000000000000000e-02,1.373896907225284798e-03,4.284872837830895620e-02,3.149371403028450978e+00,2.281189288591304043e-01,3.142050146844639791e+00,2.829692653840541056e-02,3.141599840750783912e+00,6.795996946720117777e-04,5.204976422866702812e-01,0.000000000000000000e+00
6.500000000000000222e-02,1.482973664534230872e-03,4.441062797974035942e-02,3.149949205398383523e+00,2.340717748654798369e-01,3.142124939284193896e+00,3.157231489188639523e-02,3.141601714323640326e+00,8.228431253478339690e-04,5.178081708878276013e-01,0.000000000000000000e+00
6.750000000000000444e-02,1.595939836467859165e-03,4.596030029730469729e-02,3.150541504423575390e+00,2.397158397398228835e-01,3.142208185625909866e+00,3.506029814458955923e-02,3.141603973851421649e+00,9.887602542302399277e-04,5.152243450486743148e-01,0.000000000000000000e+00
7.000000000000000666e-02,1.712765179531218224e-03,4.749801293404164876e-02,3.151147525397288707e+00,2.450490507530264095e-01,3.142300418961382125e+00,3.876205149832935570e-02,3.141606679051352824e+00,1.179800743163662716e-03,5.127597041594466054e-01,0.000000000000000000e+00
7.249999999999999500e-02,1.833420177071559123e-03,4.902407936973363078e-02,3.151766489404903115e+00,2.500701124136072706e-01,3.142402174506764290e+00,4.267809900485841634e-02,3.141609895939001973e+00,1.398553397428176168e-03,5.104270304908707923e-01,0.000000000000000000e+00
7.499999999999999722e-02,1.957876150667255902e-03,5.053885617223234650e-02,3.152397615249852958e+00,2.547784916359210339e-01,3.142513987972742839e+00,4.680831216485836083e-02,3.141613697174340913e+00,1.647744630033115987e-03,5.082380718785586282e-01,0.000000000000000000e+00
7.749999999999999944e-02,2.086103324525504302e-03,5.204025384234282903e-02,3.153040109104259692e+00,2.591594892336024358e-01,3.142636393929270078e+00,5.115190388164103652e-02,3.141618162402969094e+00,1.930236001834448063e-03,5.045653660565712073e-01,0.000000000000000000e+00
8.000000000000000167e-02,2.218064064899484718e-03,5.352564134120334910e-02,3.153693125240879525e+00,2.631956802117632055e-01,3.142769924140660809e+00,5.570741703522350680e-02,3.141623378590383098e+00,2.249021534629497710e-03,5.007825886902287360e-01,0.000000000000000000e+00
8.250000000000000389e-02,2.353717874470098292e-03,5.499465448962743280e-02,3.154355797319218890e+00,2.668837754635688397e-01,3.142915105883466786e+00,6.047271615564375757e-02,3.141629440349889002e+00,2.607224786019346398e-03,4.969136006396386307e-01,0.000000000000000000e+00
8.500000000000000611e-02,2.493023443157580971e-03,5.644700631387768869e-02,3.155027252038341334e+00,2.702214902757751891e-01,3.143072460242075206e+00,6.544498328328726688e-02,3.141636450261313218e+00,3.008094711166968849e-03,4.929804405137770962e-01,0.000000000000000000e+00
