time_s,x_m,v_m_s,theta1_rad,omega1_rad_s,theta2_rad,omega2_rad_s,theta3_rad,omega3_rad_s,force_N,push_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.384987510507057020e-22,7.507677188521161749e-19,3.141592653589793116e+00,2.252528396256601702e-17,3.141592653589793116e+00,-1.768003688947483553e-32,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,3.753682203869581649e-21,1.501347769234055557e-18,3.141592653589793116e+00,4.504944191431097444e-17,3.141592653589793116e+00,-3.640007594891877952e-32,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,8.445081245922694911e-21,2.251740198057071322e-18,3.141592653589793116e+00,6.757247413670239382e-17,3.141592653589793116e+00,-5.720011934830093768e-32,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.501222688193958842e-20,3.001945052220690816e-18,3.141592653589793116e+00,9.009438091113744019e-17,3.141592653589793116e+00,-7.800016274768309584e-32,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,2.345465023388397168e-20,3.751962378612717381e-18,3.141592653589793116e+00,1.126151625189429190e-16,3.141592653589793116e+00,-9.568019963715793411e-32,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,3.377188254092440277e-20,4.501792224109234307e-18,3.141592653589793116e+00,1.351348192413753530e-16,3.141592653589793116e+00,-1.123202343566636694e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,4.596345515940500672e-20,5.251434635574607138e-18,3.141592653589793116e+00,1.576533513596209210e-16,3.141592653589793116e+00,-1.300002712461385077e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,6.002889956281617730e-20,6.000889659861486759e-18,3.141592653589793116e+00,1.801707591547955312e-16,3.141592653589793116e+00,-1.497603124755515519e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,7.596774734176529383e-20,6.750157343810812859e-18,3.141592653589793116e+00,2.026870429079448095e-16,3.141592653589793116e+00,-1.684803515349954931e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,9.377953020394745913e-20,7.499237734251816244e-18,3.141592653589793116e+00,2.252022029000441731e-16,3.141592653589793116e+00,-1.872003905944394344e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,1.134637799741161892e-19,8.248130878002020377e-18,3.141592653589793116e+00,2.477162394119987072e-16,3.141592653589793116e+00,-2.080004339938216035e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,1.350200285940542295e-19,8.996836821867248311e-18,3.141592653589793116e+00,2.702291527246433873e-16,3.141592653589793116e+00,-2.277604752232346696e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,1.584478081225441963e-19,9.745355612641621148e-18,3.141592653589793116e+00,2.927409431187429306e-16,3.141592653589793116e+00,-2.444005099427404049e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,1.837466507353394594e-19,1.049368729710756266e-17,3.141592653589793116e+00,3.152516108749918953e-16,3.141592653589793116e+00,-2.610405446622461402e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,2.109160887251347472e-19,1.124183192203580393e-17,3.141592653589793116e+00,3.377611562740146800e-16,3.141592653589793116e+00,-2.828805902315974123e-31,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
